Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ADAUSDT,I,small_cnn,15,14days,2024-01,Test,0.9789,0.9788,0.9717,0.9986,0.9987
ADAUSDT,I,small_cnn,15,14days,2024-03,Test,0.9785,0.9786,0.9685,0.9986,0.9987
ADAUSDT,I,small_cnn,15,14days,2024-04,Test,0.978,0.9772,0.9718,0.9984,0.9984
ADAUSDT,I,small_cnn,15,14days,2024-11,Test,0.9778,0.9782,0.975,0.9981,0.9981
ADAUSDT,I,small_cnn,15,14days,2024-12,Test,0.9783,0.9784,0.9676,0.9987,0.9988
ADAUSDT,I,small_cnn,15,14days,2024-09,Train,0.9967,0.9965,0.9963,0.9999,0.9999
ADAUSDT,I,small_cnn,15,21days,2024-01,Test,0.9813,0.9812,0.9778,0.9988,0.9988
ADAUSDT,I,small_cnn,15,21days,2024-03,Test,0.9808,0.9807,0.9742,0.9988,0.9989
ADAUSDT,I,small_cnn,15,21days,2024-04,Test,0.9804,0.9798,0.9785,0.9987,0.9987
ADAUSDT,I,small_cnn,15,21days,2024-11,Test,0.9799,0.9804,0.9764,0.9987,0.9987
ADAUSDT,I,small_cnn,15,21days,2024-12,Test,0.9813,0.9811,0.973,0.9989,0.9989
ADAUSDT,I,small_cnn,15,21days,2024-09,Train,0.9965,0.9963,0.9981,1.0,0.9999
ADAUSDT,I,small_cnn,15,28days,2024-01,Test,0.9801,0.9795,0.968,0.9989,0.9989
ADAUSDT,I,small_cnn,15,28days,2024-03,Test,0.9787,0.9785,0.9626,0.999,0.999
ADAUSDT,I,small_cnn,15,28days,2024-04,Test,0.9785,0.9775,0.9655,0.9987,0.9986
ADAUSDT,I,small_cnn,15,28days,2024-11,Test,0.9772,0.9774,0.9627,0.9988,0.9988
ADAUSDT,I,small_cnn,15,28days,2024-12,Test,0.9765,0.9759,0.9576,0.9989,0.9989
ADAUSDT,I,small_cnn,15,28days,2024-09,Train,0.9944,0.9941,0.993,0.9999,0.9998
ADAUSDT,I,small_cnn,15,7days,2024-01,Test,0.9703,0.9698,0.9626,0.9972,0.9973
ADAUSDT,I,small_cnn,15,7days,2024-03,Test,0.9679,0.9684,0.9541,0.9967,0.9971
ADAUSDT,I,small_cnn,15,7days,2024-04,Test,0.9697,0.9686,0.9604,0.9969,0.9968
ADAUSDT,I,small_cnn,15,7days,2024-11,Test,0.967,0.9665,0.9686,0.9962,0.9962
ADAUSDT,I,small_cnn,15,7days,2024-12,Test,0.969,0.9695,0.9559,0.997,0.9973
ADAUSDT,I,small_cnn,15,7days,2024-09,Train,0.9956,0.9954,0.9964,0.9999,0.9999
ADAUSDT,I,small_cnn,30,14days,2024-01,Test,0.9674,0.9664,0.9416,0.9979,0.998
ADAUSDT,I,small_cnn,30,14days,2024-03,Test,0.9697,0.9692,0.9453,0.9982,0.9983
ADAUSDT,I,small_cnn,30,14days,2024-04,Test,0.9707,0.9694,0.9485,0.9981,0.9981
ADAUSDT,I,small_cnn,30,14days,2024-11,Test,0.971,0.9712,0.9503,0.9982,0.9983
ADAUSDT,I,small_cnn,30,14days,2024-12,Test,0.9657,0.9651,0.9377,0.998,0.9981
ADAUSDT,I,small_cnn,30,14days,2024-09,Train,0.9915,0.9912,0.9836,0.9999,0.9999
ADAUSDT,I,small_cnn,30,21days,2024-01,Test,0.979,0.979,0.9838,0.9984,0.9984
ADAUSDT,I,small_cnn,30,21days,2024-03,Test,0.9819,0.9818,0.9823,0.9988,0.9988
ADAUSDT,I,small_cnn,30,21days,2024-04,Test,0.98,0.9797,0.9855,0.9986,0.9986
ADAUSDT,I,small_cnn,30,21days,2024-11,Test,0.9801,0.981,0.9845,0.9985,0.9987
ADAUSDT,I,small_cnn,30,21days,2024-12,Test,0.981,0.9809,0.982,0.9987,0.9987
ADAUSDT,I,small_cnn,30,21days,2024-09,Train,0.9928,0.9925,0.9985,0.9999,0.9999
ADAUSDT,I,small_cnn,30,28days,2024-01,Test,0.9767,0.9761,0.9659,0.9983,0.9983
ADAUSDT,I,small_cnn,30,28days,2024-03,Test,0.9785,0.9783,0.9675,0.9985,0.9986
ADAUSDT,I,small_cnn,30,28days,2024-04,Test,0.9779,0.977,0.9672,0.9985,0.9985
ADAUSDT,I,small_cnn,30,28days,2024-11,Test,0.9775,0.978,0.9671,0.9985,0.9986
ADAUSDT,I,small_cnn,30,28days,2024-12,Test,0.9754,0.9747,0.9607,0.9985,0.9985
ADAUSDT,I,small_cnn,30,28days,2024-09,Train,0.9911,0.9908,0.9893,0.9997,0.9996
ADAUSDT,I,small_cnn,30,7days,2024-01,Test,0.96,0.9593,0.962,0.9941,0.9938
ADAUSDT,I,small_cnn,30,7days,2024-03,Test,0.9662,0.9668,0.9645,0.9961,0.9964
ADAUSDT,I,small_cnn,30,7days,2024-04,Test,0.9614,0.9607,0.9603,0.9955,0.9954
ADAUSDT,I,small_cnn,30,7days,2024-11,Test,0.9644,0.9641,0.9639,0.9959,0.9959
ADAUSDT,I,small_cnn,30,7days,2024-12,Test,0.9582,0.9597,0.9567,0.9947,0.9952
ADAUSDT,I,small_cnn,30,7days,2024-09,Train,0.9894,0.9888,0.9945,0.9996,0.9995
ADAUSDT,I,small_cnn,5,14days,2024-01,Test,0.9807,0.9802,0.972,0.9987,0.9987
ADAUSDT,I,small_cnn,5,14days,2024-03,Test,0.9828,0.9825,0.9735,0.9992,0.9992
ADAUSDT,I,small_cnn,5,14days,2024-04,Test,0.9819,0.9812,0.9811,0.9985,0.9984
ADAUSDT,I,small_cnn,5,14days,2024-11,Test,0.9792,0.9788,0.9751,0.9984,0.9984
ADAUSDT,I,small_cnn,5,14days,2024-12,Test,0.9804,0.9801,0.9659,0.9991,0.9992
ADAUSDT,I,small_cnn,5,14days,2024-09,Train,0.9875,0.9866,0.9899,0.9993,0.9992
ADAUSDT,I,small_cnn,5,21days,2024-01,Test,0.9834,0.9828,0.9768,0.999,0.999
ADAUSDT,I,small_cnn,5,21days,2024-03,Test,0.9829,0.9825,0.971,0.9993,0.9993
ADAUSDT,I,small_cnn,5,21days,2024-04,Test,0.9823,0.9817,0.9769,0.9989,0.9989
ADAUSDT,I,small_cnn,5,21days,2024-11,Test,0.9808,0.9805,0.97,0.999,0.999
ADAUSDT,I,small_cnn,5,21days,2024-12,Test,0.9809,0.9802,0.9643,0.9992,0.9992
ADAUSDT,I,small_cnn,5,21days,2024-09,Train,0.9891,0.9882,0.9901,0.9995,0.9994
ADAUSDT,I,small_cnn,5,28days,2024-01,Test,0.9848,0.9843,0.9897,0.9991,0.9991
ADAUSDT,I,small_cnn,5,28days,2024-03,Test,0.9858,0.9855,0.9841,0.9993,0.9993
ADAUSDT,I,small_cnn,5,28days,2024-04,Test,0.9836,0.9831,0.9891,0.9991,0.9991
ADAUSDT,I,small_cnn,5,28days,2024-11,Test,0.9832,0.9831,0.981,0.9991,0.9991
ADAUSDT,I,small_cnn,5,28days,2024-12,Test,0.9843,0.984,0.9782,0.9993,0.9993
ADAUSDT,I,small_cnn,5,28days,2024-09,Train,0.984,0.9831,0.9971,0.9995,0.9994
