Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BNBUSDT,I,small_cnn,15,14days,2024-01,Test,0.969,0.9679,0.9512,0.997,0.997
BNBUSDT,I,small_cnn,15,14days,2024-03,Test,0.9708,0.9714,0.9527,0.9979,0.9981
BNBUSDT,I,small_cnn,15,14days,2024-04,Test,0.9692,0.9677,0.9463,0.9979,0.9978
BNBUSDT,I,small_cnn,15,14days,2024-08,Test,0.973,0.9719,0.9528,0.9984,0.9984
BNBUSDT,I,small_cnn,15,14days,2024-12,Test,0.9674,0.9675,0.9398,0.9986,0.9987
BNBUSDT,I,small_cnn,15,14days,2024-10,Train,0.9933,0.9932,0.9877,0.9999,0.9999
BNBUSDT,I,small_cnn,15,21days,2024-01,Test,0.9686,0.9679,0.9765,0.9962,0.996
BNBUSDT,I,small_cnn,15,21days,2024-03,Test,0.9783,0.9788,0.9801,0.9983,0.9984
BNBUSDT,I,small_cnn,15,21days,2024-04,Test,0.9785,0.9782,0.9804,0.9982,0.9982
BNBUSDT,I,small_cnn,15,21days,2024-08,Test,0.9785,0.9783,0.9838,0.9984,0.9984
BNBUSDT,I,small_cnn,15,21days,2024-12,Test,0.9799,0.9803,0.9722,0.9986,0.9988
BNBUSDT,I,small_cnn,15,21days,2024-10,Train,0.9946,0.9945,0.9972,0.9999,0.9999
BNBUSDT,I,small_cnn,15,28days,2024-01,Test,0.9749,0.9739,0.9708,0.9973,0.9971
BNBUSDT,I,small_cnn,15,28days,2024-03,Test,0.9808,0.981,0.9704,0.999,0.9991
BNBUSDT,I,small_cnn,15,28days,2024-04,Test,0.9825,0.982,0.9723,0.999,0.999
BNBUSDT,I,small_cnn,15,28days,2024-08,Test,0.9832,0.9828,0.975,0.9991,0.9991
BNBUSDT,I,small_cnn,15,28days,2024-12,Test,0.9773,0.9776,0.9582,0.9992,0.9993
BNBUSDT,I,small_cnn,15,28days,2024-10,Train,0.9955,0.9953,0.9942,0.9999,0.9999
BNBUSDT,I,small_cnn,15,7days,2024-01,Test,0.9666,0.9668,0.9776,0.9962,0.9962
BNBUSDT,I,small_cnn,15,7days,2024-03,Test,0.9624,0.9637,0.9657,0.9953,0.9957
BNBUSDT,I,small_cnn,15,7days,2024-04,Test,0.9695,0.9688,0.974,0.9969,0.9967
BNBUSDT,I,small_cnn,15,7days,2024-08,Test,0.9722,0.9708,0.9771,0.9974,0.9972
BNBUSDT,I,small_cnn,15,7days,2024-12,Test,0.974,0.9749,0.9707,0.9975,0.9977
BNBUSDT,I,small_cnn,15,7days,2024-10,Train,0.997,0.997,0.9988,1.0,1.0
BNBUSDT,I,small_cnn,30,14days,2024-01,Test,0.966,0.9665,0.9741,0.9963,0.9965
BNBUSDT,I,small_cnn,30,14days,2024-03,Test,0.9725,0.9747,0.9782,0.9973,0.9978
BNBUSDT,I,small_cnn,30,14days,2024-04,Test,0.9715,0.9714,0.9728,0.9969,0.9971
BNBUSDT,I,small_cnn,30,14days,2024-08,Test,0.9709,0.9712,0.9746,0.9971,0.9972
BNBUSDT,I,small_cnn,30,14days,2024-12,Test,0.9737,0.9747,0.9693,0.9974,0.9977
BNBUSDT,I,small_cnn,30,14days,2024-10,Train,0.9891,0.9892,0.9934,0.9996,0.9996
BNBUSDT,I,small_cnn,30,21days,2024-01,Test,0.9729,0.9728,0.9736,0.9972,0.9972
BNBUSDT,I,small_cnn,30,21days,2024-03,Test,0.9801,0.9808,0.9753,0.9987,0.9988
BNBUSDT,I,small_cnn,30,21days,2024-04,Test,0.9777,0.9775,0.9744,0.9984,0.9984
BNBUSDT,I,small_cnn,30,21days,2024-08,Test,0.9784,0.9787,0.9757,0.9985,0.9986
BNBUSDT,I,small_cnn,30,21days,2024-12,Test,0.979,0.9796,0.9683,0.9988,0.999
