Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BTCUSDT,I,small_cnn,15,14days,2024-01,Test,0.9741,0.9744,0.9553,0.9986,0.9987
BTCUSDT,I,small_cnn,15,14days,2024-03,Test,0.9735,0.974,0.9563,0.9986,0.9987
BTCUSDT,I,small_cnn,15,14days,2024-04,Test,0.9736,0.9734,0.9552,0.9985,0.9985
BTCUSDT,I,small_cnn,15,14days,2024-08,Test,0.9738,0.9728,0.9537,0.9986,0.9986
BTCUSDT,I,small_cnn,15,14days,2024-12,Test,0.9742,0.9742,0.957,0.9984,0.9985
BTCUSDT,I,small_cnn,15,14days,2024-06,Train,0.9895,0.9894,0.9795,0.9999,0.9999
BTCUSDT,I,small_cnn,15,21days,2024-01,Test,0.9801,0.98,0.9656,0.9992,0.9992
BTCUSDT,I,small_cnn,15,21days,2024-03,Test,0.9805,0.9806,0.9665,0.9992,0.9993
BTCUSDT,I,small_cnn,15,21days,2024-04,Test,0.9819,0.9817,0.9683,0.9993,0.9993
BTCUSDT,I,small_cnn,15,21days,2024-08,Test,0.9822,0.9819,0.9681,0.9993,0.9993
BTCUSDT,I,small_cnn,15,21days,2024-12,Test,0.9812,0.9811,0.9668,0.9993,0.9993
BTCUSDT,I,small_cnn,15,21days,2024-06,Train,0.9937,0.9936,0.9876,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-01,Test,0.9847,0.9848,0.9846,0.9993,0.9993
BTCUSDT,I,small_cnn,15,28days,2024-03,Test,0.985,0.9854,0.9849,0.9993,0.9993
BTCUSDT,I,small_cnn,15,28days,2024-04,Test,0.9853,0.9853,0.9851,0.9992,0.9992
BTCUSDT,I,small_cnn,15,28days,2024-08,Test,0.9848,0.9848,0.984,0.9993,0.9993
BTCUSDT,I,small_cnn,15,28days,2024-12,Test,0.985,0.9851,0.9842,0.9993,0.9993
BTCUSDT,I,small_cnn,15,28days,2024-06,Train,0.9953,0.9953,0.9942,0.9999,0.9999
BTCUSDT,I,small_cnn,15,7days,2024-01,Test,0.9698,0.9709,0.9548,0.9977,0.998
BTCUSDT,I,small_cnn,15,7days,2024-03,Test,0.9748,0.9757,0.9621,0.9985,0.9986
BTCUSDT,I,small_cnn,15,7days,2024-04,Test,0.9712,0.9709,0.952,0.998,0.9981
BTCUSDT,I,small_cnn,15,7days,2024-08,Test,0.9736,0.9719,0.9556,0.9982,0.9981
BTCUSDT,I,small_cnn,15,7days,2024-12,Test,0.9685,0.9679,0.9501,0.9976,0.9977
BTCUSDT,I,small_cnn,15,7days,2024-06,Train,0.9953,0.9954,0.9915,1.0,1.0
BTCUSDT,I,small_cnn,30,14days,2024-01,Test,0.9731,0.9745,0.9873,0.998,0.9982
BTCUSDT,I,small_cnn,30,14days,2024-03,Test,0.9743,0.9756,0.9893,0.9983,0.9984
BTCUSDT,I,small_cnn,30,14days,2024-04,Test,0.9786,0.9789,0.9893,0.9985,0.9986
BTCUSDT,I,small_cnn,30,14days,2024-08,Test,0.9745,0.9742,0.9893,0.9983,0.9982
BTCUSDT,I,small_cnn,30,14days,2024-12,Test,0.9754,0.9761,0.9893,0.9985,0.9986
BTCUSDT,I,small_cnn,30,14days,2024-06,Train,0.9936,0.9937,0.999,0.9999,0.9999
BTCUSDT,I,small_cnn,30,21days,2024-01,Test,0.9766,0.9768,0.9736,0.9982,0.9983
BTCUSDT,I,small_cnn,30,21days,2024-03,Test,0.9793,0.9797,0.9757,0.9986,0.9987
BTCUSDT,I,small_cnn,30,21days,2024-04,Test,0.9792,0.979,0.976,0.9987,0.9987
BTCUSDT,I,small_cnn,30,21days,2024-08,Test,0.9788,0.9787,0.9768,0.9986,0.9986
BTCUSDT,I,small_cnn,30,21days,2024-12,Test,0.9793,0.9796,0.9774,0.9987,0.9987
BTCUSDT,I,small_cnn,30,21days,2024-06,Train,0.9939,0.9939,0.9922,0.9998,0.9998
BTCUSDT,I,small_cnn,30,28days,2024-01,Test,0.9779,0.978,0.9701,0.9986,0.9986
BTCUSDT,I,small_cnn,30,28days,2024-03,Test,0.9801,0.9805,0.9736,0.9988,0.9989
BTCUSDT,I,small_cnn,30,28days,2024-04,Test,0.9799,0.9797,0.9718,0.9988,0.9989
BTCUSDT,I,small_cnn,30,28days,2024-08,Test,0.9806,0.9804,0.974,0.9988,0.9988
BTCUSDT,I,small_cnn,30,28days,2024-12,Test,0.9807,0.9807,0.974,0.9989,0.999
BTCUSDT,I,small_cnn,30,28days,2024-06,Train,0.9924,0.9923,0.9893,0.9998,0.9998
BTCUSDT,I,small_cnn,30,7days,2024-01,Test,0.9355,0.9367,0.8865,0.9952,0.9959
BTCUSDT,I,small_cnn,30,7days,2024-03,Test,0.9492,0.9492,0.9072,0.9968,0.9972
BTCUSDT,I,small_cnn,30,7days,2024-04,Test,0.9472,0.9459,0.8997,0.9971,0.9973
BTCUSDT,I,small_cnn,30,7days,2024-08,Test,0.946,0.9397,0.8906,0.9963,0.996
BTCUSDT,I,small_cnn,30,7days,2024-12,Test,0.9482,0.9462,0.9028,0.9961,0.9963
BTCUSDT,I,small_cnn,30,7days,2024-06,Train,0.9731,0.9738,0.949,0.9997,0.9997
BTCUSDT,I,small_cnn,5,14days,2024-01,Test,0.9866,0.9869,0.9888,0.9994,0.9995
BTCUSDT,I,small_cnn,5,14days,2024-03,Test,0.9841,0.9845,0.9875,0.9992,0.9993
BTCUSDT,I,small_cnn,5,14days,2024-04,Test,0.9859,0.9859,0.99,0.9994,0.9994
BTCUSDT,I,small_cnn,5,14days,2024-08,Test,0.9861,0.986,0.9878,0.9993,0.9993
BTCUSDT,I,small_cnn,5,14days,2024-12,Test,0.9873,0.9873,0.9889,0.9994,0.9994
BTCUSDT,I,small_cnn,5,14days,2024-06,Train,0.9934,0.9933,0.9973,0.9998,0.9998
BTCUSDT,I,small_cnn,5,21days,2024-01,Test,0.9698,0.9711,0.999,0.9992,0.9992
BTCUSDT,I,small_cnn,5,21days,2024-03,Test,0.9666,0.968,0.9991,0.9991,0.9991
BTCUSDT,I,small_cnn,5,21days,2024-04,Test,0.9678,0.9688,0.9995,0.9992,0.9992
BTCUSDT,I,small_cnn,5,21days,2024-08,Test,0.9651,0.9662,0.9992,0.9991,0.9991
BTCUSDT,I,small_cnn,5,21days,2024-12,Test,0.9695,0.9702,0.9991,0.9993,0.9993
BTCUSDT,I,small_cnn,5,21days,2024-06,Train,0.9742,0.9746,0.9991,0.9996,0.9996
BTCUSDT,I,small_cnn,5,28days,2024-01,Test,0.9873,0.9876,0.9873,0.9995,0.9995
BTCUSDT,I,small_cnn,5,28days,2024-03,Test,0.9854,0.9855,0.9856,0.9994,0.9994
BTCUSDT,I,small_cnn,5,28days,2024-04,Test,0.9875,0.9875,0.9867,0.9995,0.9995
BTCUSDT,I,small_cnn,5,28days,2024-08,Test,0.9864,0.9863,0.9858,0.9994,0.9994
BTCUSDT,I,small_cnn,5,28days,2024-12,Test,0.9878,0.9877,0.9872,0.9995,0.9995
BTCUSDT,I,small_cnn,5,28days,2024-06,Train,0.9912,0.9912,0.9934,0.9997,0.9997
BTCUSDT,I,small_cnn,5,7days,2024-01,Test,0.982,0.9827,0.9875,0.999,0.9991
BTCUSDT,I,small_cnn,5,7days,2024-03,Test,0.9797,0.9805,0.9872,0.9988,0.9989
BTCUSDT,I,small_cnn,5,7days,2024-04,Test,0.9811,0.9812,0.9866,0.9989,0.9989
BTCUSDT,I,small_cnn,5,7days,2024-08,Test,0.9817,0.9815,0.9861,0.999,0.9989
BTCUSDT,I,small_cnn,5,7days,2024-12,Test,0.9827,0.9827,0.988,0.999,0.999
BTCUSDT,I,small_cnn,5,7days,2024-06,Train,0.9928,0.9928,0.9974,0.9997,0.9995
BTCUSDT,I,edgenext,15,14days,2024-08,Test,0.4918,0.6593,1.0,0.5101,0.4977
BTCUSDT,I,edgenext,15,14days,2024-12,Test,0.5087,0.6743,1.0,0.5363,0.5415
BTCUSDT,I,edgenext,15,14days,2024-06,Train,0.5013,0.0,0.0,0.5167,0.5147
BTCUSDT,I,edgenext,15,14days,2024-01,Test,0.4863,0.0,0.0,0.507,0.5203
BTCUSDT,I,edgenext,15,14days,2024-03,Test,0.5171,0.6817,1.0,0.5191,0.5319
BTCUSDT,I,edgenext,15,14days,2024-04,Test,0.5042,0.6704,1.0,0.505,0.5118
BTCUSDT,I,edgenext,15,21days,2024-08,Test,0.5029,0.6693,1.0,0.5032,0.506
BTCUSDT,I,edgenext,15,21days,2024-01,Test,0.4958,0.0,0.0,0.5009,0.5034
BTCUSDT,I,edgenext,15,21days,2024-03,Test,0.5089,0.6746,1.0,0.5108,0.5187
BTCUSDT,I,edgenext,15,21days,2024-04,Test,0.498,0.0,0.0,0.499,0.4982
BTCUSDT,I,edgenext,15,21days,2024-12,Test,0.494,0.0,0.0,0.5147,0.5207
BTCUSDT,I,edgenext,15,21days,2024-06,Train,0.5102,0.1164,0.0649,0.5275,0.5225
BTCUSDT,I,edgenext,15,28days,2024-03,Test,0.5108,0.6762,1.0,0.5117,0.5203
BTCUSDT,I,edgenext,15,28days,2024-08,Test,0.5006,0.6672,1.0,0.5049,0.512
BTCUSDT,I,edgenext,15,28days,2024-12,Test,0.4963,0.0,0.0,0.5069,0.5093
BTCUSDT,I,edgenext,15,28days,2024-04,Test,0.5021,0.0,0.0,0.507,0.5059
BTCUSDT,I,edgenext,15,28days,2024-01,Test,0.5041,0.6703,1.0,0.502,0.5041
BTCUSDT,I,edgenext,15,28days,2024-06,Train,0.5049,0.0,0.0,0.5085,0.4989
BTCUSDT,I,edgenext,15,7days,2024-04,Test,0.4997,0.6664,1.0,0.5262,0.5324
BTCUSDT,I,edgenext,15,7days,2024-08,Test,0.4806,0.6492,1.0,0.5239,0.4988
BTCUSDT,I,edgenext,15,7days,2024-03,Test,0.5243,0.688,1.0,0.5211,0.5435
BTCUSDT,I,edgenext,15,7days,2024-06,Train,0.9977,0.9978,0.9988,1.0,1.0
BTCUSDT,I,edgenext,15,7days,2024-01,Test,0.5285,0.6915,1.0,0.4994,0.5248
BTCUSDT,I,edgenext,15,7days,2024-12,Test,0.5037,0.6699,1.0,0.5117,0.5188
BTCUSDT,I,edgenext,30,14days,2024-04,Test,0.5004,0.0,0.0,0.5032,0.4731
BTCUSDT,I,edgenext,30,14days,2024-01,Test,0.4829,0.0,0.0,0.516,0.5333
BTCUSDT,I,edgenext,30,14days,2024-08,Test,0.5118,0.0,0.0,0.5105,0.4964
BTCUSDT,I,edgenext,30,14days,2024-03,Test,0.4822,0.0,0.0,0.4871,0.5022
BTCUSDT,I,edgenext,30,14days,2024-12,Test,0.5114,0.6767,1.0,0.5178,0.5241
BTCUSDT,I,edgenext,30,14days,2024-06,Train,0.5071,0.6729,1.0,0.4841,0.4919
BTCUSDT,I,edgenext,30,21days,2024-06,Train,0.5002,0.6669,1.0,0.5179,0.5169
BTCUSDT,I,edgenext,30,21days,2024-01,Test,0.491,0.0,0.0,0.4929,0.5112
