Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
DOGEUSDT,II,small_cnn,15,14days,2024-03,Test,0.9757,0.9758,0.9665,0.9981,0.9983
DOGEUSDT,II,small_cnn,15,14days,2024-04,Test,0.9759,0.9754,0.9655,0.9984,0.9984
DOGEUSDT,II,small_cnn,15,14days,2024-08,Test,0.9789,0.9779,0.9693,0.9987,0.9986
DOGEUSDT,II,small_cnn,15,14days,2024-11,Test,0.9777,0.9784,0.9689,0.9987,0.9988
DOGEUSDT,II,small_cnn,15,14days,2024-12,Test,0.9759,0.9761,0.9644,0.9985,0.9986
DOGEUSDT,II,small_cnn,15,1week,2024-09,Train,0.9981,0.9981,0.998,1.0,1.0
DOGEUSDT,II,small_cnn,15,21days,2024-03,Test,0.9754,0.9754,0.9655,0.9981,0.9982
DOGEUSDT,II,small_cnn,15,21days,2024-04,Test,0.9765,0.976,0.9667,0.9984,0.9984
DOGEUSDT,II,small_cnn,15,21days,2024-08,Test,0.9781,0.9772,0.9699,0.9984,0.9984
DOGEUSDT,II,small_cnn,15,21days,2024-11,Test,0.977,0.9774,0.9672,0.9986,0.9987
DOGEUSDT,II,small_cnn,15,21days,2024-12,Test,0.9756,0.9757,0.9641,0.9985,0.9985
DOGEUSDT,II,small_cnn,15,28days,2024-03,Test,0.9753,0.9754,0.9658,0.9981,0.9982
DOGEUSDT,II,small_cnn,15,28days,2024-04,Test,0.9759,0.9753,0.9658,0.9983,0.9983
DOGEUSDT,II,small_cnn,15,28days,2024-08,Test,0.9772,0.9764,0.9701,0.9984,0.9983
DOGEUSDT,II,small_cnn,15,28days,2024-11,Test,0.9773,0.9776,0.9673,0.9986,0.9987
DOGEUSDT,II,small_cnn,15,28days,2024-12,Test,0.9753,0.9753,0.9632,0.9984,0.9985
DOGEUSDT,II,small_cnn,30,14days,2024-03,Test,0.9629,0.9642,0.956,0.9956,0.9961
DOGEUSDT,II,small_cnn,30,14days,2024-04,Test,0.964,0.9637,0.9582,0.9956,0.9957
