Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
XRPUSDT,I,small_cnn,15,14days,2024-01,Test,0.9748,0.9752,0.9654,0.998,0.9981
XRPUSDT,I,small_cnn,15,14days,2024-04,Test,0.975,0.9746,0.9661,0.998,0.9979
XRPUSDT,I,small_cnn,15,14days,2024-08,Test,0.9782,0.9769,0.9652,0.9988,0.9987
XRPUSDT,I,small_cnn,15,14days,2024-11,Test,0.975,0.9755,0.9678,0.998,0.9981
XRPUSDT,I,small_cnn,15,14days,2024-12,Test,0.9732,0.9731,0.9533,0.9988,0.9988
XRPUSDT,I,small_cnn,15,14days,2024-09,Train,0.995,0.9948,0.9939,0.9999,0.9999
XRPUSDT,I,small_cnn,15,21days,2024-01,Test,0.9776,0.9777,0.9776,0.9983,0.9983
XRPUSDT,I,small_cnn,15,21days,2024-04,Test,0.9792,0.9791,0.9763,0.9985,0.9985
XRPUSDT,I,small_cnn,15,21days,2024-08,Test,0.9798,0.979,0.9773,0.9986,0.9985
XRPUSDT,I,small_cnn,15,21days,2024-11,Test,0.9796,0.9803,0.9771,0.9984,0.9985
XRPUSDT,I,small_cnn,15,21days,2024-12,Test,0.9795,0.9793,0.9685,0.9988,0.9989
XRPUSDT,I,small_cnn,15,21days,2024-09,Train,0.9954,0.9953,0.9971,0.9999,0.9999
XRPUSDT,I,small_cnn,15,28days,2024-01,Test,0.9808,0.9807,0.9744,0.9986,0.9986
XRPUSDT,I,small_cnn,15,28days,2024-04,Test,0.9828,0.9826,0.9754,0.999,0.999
XRPUSDT,I,small_cnn,15,28days,2024-08,Test,0.9834,0.9826,0.9752,0.999,0.9989
XRPUSDT,I,small_cnn,15,28days,2024-11,Test,0.9806,0.9809,0.9692,0.999,0.9991
XRPUSDT,I,small_cnn,15,28days,2024-12,Test,0.9798,0.9796,0.9623,0.9993,0.9993
XRPUSDT,I,small_cnn,15,28days,2024-09,Train,0.9949,0.9948,0.993,0.9999,0.9999
XRPUSDT,I,small_cnn,15,7days,2024-01,Test,0.9708,0.9714,0.9764,0.9972,0.9974
XRPUSDT,I,small_cnn,15,7days,2024-04,Test,0.9695,0.9697,0.9769,0.9967,0.9968
XRPUSDT,I,small_cnn,15,7days,2024-08,Test,0.9773,0.9758,0.9821,0.9983,0.9981
XRPUSDT,I,small_cnn,15,7days,2024-11,Test,0.9679,0.9684,0.9777,0.9965,0.9966
XRPUSDT,I,small_cnn,15,7days,2024-12,Test,0.9742,0.9746,0.9698,0.998,0.9981
XRPUSDT,I,small_cnn,15,7days,2024-09,Train,0.9952,0.995,0.9983,0.9999,0.9999
XRPUSDT,I,small_cnn,30,14days,2024-01,Test,0.9731,0.974,0.9724,0.9974,0.9976
XRPUSDT,I,small_cnn,30,14days,2024-04,Test,0.9749,0.9749,0.9763,0.9978,0.9978
XRPUSDT,I,small_cnn,30,14days,2024-08,Test,0.9743,0.9731,0.9684,0.9978,0.9976
XRPUSDT,I,small_cnn,30,14days,2024-11,Test,0.9752,0.9759,0.9753,0.9976,0.9978
XRPUSDT,I,small_cnn,30,14days,2024-12,Test,0.9774,0.9776,0.9694,0.9984,0.9985
XRPUSDT,I,small_cnn,30,14days,2024-09,Train,0.9967,0.9967,0.9981,1.0,1.0
XRPUSDT,I,small_cnn,30,21days,2024-01,Test,0.9751,0.9752,0.973,0.9977,0.9978
XRPUSDT,I,small_cnn,30,21days,2024-04,Test,0.9786,0.9786,0.9747,0.9984,0.9985
XRPUSDT,I,small_cnn,30,21days,2024-08,Test,0.9771,0.9763,0.9725,0.9983,0.9982
XRPUSDT,I,small_cnn,30,21days,2024-11,Test,0.979,0.9799,0.9757,0.9985,0.9987
XRPUSDT,I,small_cnn,30,21days,2024-12,Test,0.9795,0.9792,0.9692,0.9989,0.9989
XRPUSDT,I,small_cnn,30,21days,2024-09,Train,0.9959,0.9958,0.996,0.9999,0.9999
XRPUSDT,I,small_cnn,30,28days,2024-01,Test,0.9774,0.9774,0.9758,0.9982,0.9982
XRPUSDT,I,small_cnn,30,28days,2024-04,Test,0.9802,0.9802,0.9758,0.9986,0.9987
XRPUSDT,I,small_cnn,30,28days,2024-08,Test,0.9775,0.9768,0.9722,0.9983,0.9981
XRPUSDT,I,small_cnn,30,28days,2024-11,Test,0.9795,0.9801,0.9721,0.9988,0.9989
XRPUSDT,I,small_cnn,30,28days,2024-12,Test,0.9788,0.9786,0.9676,0.9989,0.9989
XRPUSDT,I,small_cnn,30,28days,2024-09,Train,0.9935,0.9935,0.994,0.9998,0.9998
XRPUSDT,I,small_cnn,30,7days,2024-01,Test,0.96,0.9612,0.9509,0.9948,0.9952
XRPUSDT,I,small_cnn,30,7days,2024-04,Test,0.9622,0.9623,0.9564,0.9956,0.9958
XRPUSDT,I,small_cnn,30,7days,2024-08,Test,0.9677,0.9645,0.9484,0.9968,0.9964
XRPUSDT,I,small_cnn,30,7days,2024-11,Test,0.9691,0.9688,0.9652,0.9964,0.9965
XRPUSDT,I,small_cnn,30,7days,2024-12,Test,0.9697,0.9703,0.9573,0.9973,0.9975
XRPUSDT,I,small_cnn,30,7days,2024-09,Train,0.9933,0.9931,0.9915,0.9998,0.9998
XRPUSDT,I,small_cnn,5,14days,2024-01,Test,0.977,0.9766,0.9736,0.9982,0.9982
XRPUSDT,I,small_cnn,5,14days,2024-04,Test,0.9785,0.9779,0.975,0.9984,0.9983
XRPUSDT,I,small_cnn,5,14days,2024-08,Test,0.9799,0.979,0.9733,0.9988,0.9987
XRPUSDT,I,small_cnn,5,14days,2024-11,Test,0.9767,0.976,0.9716,0.9982,0.9982
XRPUSDT,I,small_cnn,5,14days,2024-12,Test,0.9746,0.9739,0.9541,0.9988,0.9989
XRPUSDT,I,small_cnn,5,14days,2024-09,Train,0.9884,0.9879,0.9926,0.9995,0.9995
XRPUSDT,I,small_cnn,5,21days,2024-01,Test,0.9828,0.9822,0.9761,0.9989,0.9988
XRPUSDT,I,small_cnn,5,21days,2024-04,Test,0.9859,0.9856,0.9781,0.9994,0.9993
XRPUSDT,I,small_cnn,5,21days,2024-08,Test,0.984,0.9831,0.9739,0.9993,0.9992
XRPUSDT,I,small_cnn,5,21days,2024-11,Test,0.9795,0.979,0.9639,0.999,0.999
XRPUSDT,I,small_cnn,5,21days,2024-12,Test,0.9767,0.9759,0.953,0.9995,0.9996
XRPUSDT,I,small_cnn,5,21days,2024-09,Train,0.9934,0.9931,0.9933,0.9998,0.9998
XRPUSDT,I,small_cnn,5,28days,2024-01,Test,0.982,0.9815,0.9849,0.9988,0.9987
XRPUSDT,I,small_cnn,5,28days,2024-04,Test,0.9867,0.9865,0.9872,0.9993,0.9993
XRPUSDT,I,small_cnn,5,28days,2024-08,Test,0.9861,0.9855,0.9854,0.9992,0.9991
XRPUSDT,I,small_cnn,5,28days,2024-11,Test,0.9814,0.9811,0.971,0.999,0.999
XRPUSDT,I,small_cnn,5,28days,2024-12,Test,0.9821,0.9817,0.9661,0.9995,0.9995
XRPUSDT,I,small_cnn,5,28days,2024-09,Train,0.9899,0.9895,0.9938,0.9996,0.9996
XRPUSDT,I,small_cnn,5,7days,2024-01,Test,0.9633,0.9632,0.9814,0.9965,0.9964
XRPUSDT,I,small_cnn,5,7days,2024-04,Test,0.9651,0.9652,0.9809,0.9962,0.9961
XRPUSDT,I,small_cnn,5,7days,2024-08,Test,0.9738,0.9728,0.9815,0.9978,0.9977
XRPUSDT,I,small_cnn,5,7days,2024-11,Test,0.9561,0.9549,0.9762,0.9942,0.9938
XRPUSDT,I,small_cnn,5,7days,2024-12,Test,0.9745,0.9743,0.9682,0.9981,0.9981
XRPUSDT,I,small_cnn,5,7days,2024-09,Train,0.98,0.9793,0.9971,0.9994,0.9993
XRPUSDT,I,edgenext,15,14days,2024-08,Test,0.9914,0.9911,0.9995,0.9999,0.9999
XRPUSDT,I,edgenext,15,14days,2024-12,Test,0.9917,0.9919,0.9967,0.9998,0.9998
XRPUSDT,I,edgenext,15,14days,2024-11,Test,0.9967,0.9968,0.9994,1.0,1.0
XRPUSDT,I,edgenext,15,14days,2024-01,Test,0.9968,0.9969,0.9944,1.0,1.0
XRPUSDT,I,edgenext,15,14days,2024-09,Train,0.9992,0.9992,0.9991,1.0,1.0
