Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ADAUSDT,I,small_cnn,15,14days,2024-01,Test,0.9977,0.9975,0.995,0.9999,0.9999
ADAUSDT,I,small_cnn,15,14days,2024-03,Test,0.994,0.9937,0.9875,0.9997,0.9997
ADAUSDT,I,small_cnn,15,14days,2024-04,Test,0.9991,0.9989,0.9979,0.9999,0.9999
ADAUSDT,I,small_cnn,15,14days,2024-11,Test,0.9965,0.9961,0.9923,0.9997,0.9997
ADAUSDT,I,small_cnn,15,14days,2024-12,Test,0.9867,0.9861,0.9727,0.9985,0.9988
ADAUSDT,I,small_cnn,15,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,15,21days,2024-01,Test,0.9981,0.998,0.9959,0.9995,0.9996
ADAUSDT,I,small_cnn,15,21days,2024-03,Test,0.9934,0.993,0.9861,0.9982,0.9986
ADAUSDT,I,small_cnn,15,21days,2024-04,Test,0.9981,0.9979,0.9958,0.9993,0.9995
ADAUSDT,I,small_cnn,15,21days,2024-11,Test,0.9929,0.9923,0.9847,0.9973,0.9979
ADAUSDT,I,small_cnn,15,21days,2024-12,Test,0.9856,0.9848,0.97,0.9943,0.9958
ADAUSDT,I,small_cnn,15,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,15,28days,2024-01,Test,0.9991,0.999,0.998,0.9999,0.9999
ADAUSDT,I,small_cnn,15,28days,2024-03,Test,0.9964,0.9962,0.9924,0.9995,0.9996
ADAUSDT,I,small_cnn,15,28days,2024-04,Test,0.999,0.9989,0.9977,0.9998,0.9998
ADAUSDT,I,small_cnn,15,28days,2024-11,Test,0.9936,0.9932,0.9864,0.9986,0.9989
ADAUSDT,I,small_cnn,15,28days,2024-12,Test,0.9913,0.9908,0.9818,0.998,0.9985
ADAUSDT,I,small_cnn,15,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,15,7days,2024-01,Test,0.9969,0.9967,0.9934,0.9988,0.9991
ADAUSDT,I,small_cnn,15,7days,2024-03,Test,0.9847,0.984,0.9685,0.9923,0.9947
ADAUSDT,I,small_cnn,15,7days,2024-04,Test,0.9965,0.9961,0.9924,0.9989,0.9991
ADAUSDT,I,small_cnn,15,7days,2024-11,Test,0.9997,0.9996,0.9993,0.9999,0.9999
ADAUSDT,I,small_cnn,15,7days,2024-12,Test,0.9765,0.9753,0.9518,0.9877,0.9918
ADAUSDT,I,small_cnn,15,7days,2024-09,Train,0.9998,0.9998,0.9995,1.0,1.0
ADAUSDT,I,small_cnn,30,14days,2024-01,Test,0.9982,0.9981,0.9962,0.9999,0.9999
ADAUSDT,I,small_cnn,30,14days,2024-03,Test,0.9958,0.9956,0.9912,0.9991,0.9993
ADAUSDT,I,small_cnn,30,14days,2024-04,Test,0.9987,0.9985,0.997,0.9998,0.9998
ADAUSDT,I,small_cnn,30,14days,2024-11,Test,0.9968,0.9965,0.993,0.9994,0.9996
ADAUSDT,I,small_cnn,30,14days,2024-12,Test,0.992,0.9916,0.9834,0.9983,0.9988
ADAUSDT,I,small_cnn,30,14days,2024-09,Train,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,I,small_cnn,30,21days,2024-01,Test,0.9996,0.9995,0.9991,0.9999,0.9999
ADAUSDT,I,small_cnn,30,21days,2024-03,Test,0.9988,0.9987,0.9974,0.9994,0.9996
ADAUSDT,I,small_cnn,30,21days,2024-04,Test,0.9992,0.9991,0.9982,0.9999,0.9999
ADAUSDT,I,small_cnn,30,21days,2024-11,Test,0.9987,0.9986,0.9971,0.9997,0.9998
ADAUSDT,I,small_cnn,30,21days,2024-12,Test,0.9977,0.9977,0.9953,0.9994,0.9996
ADAUSDT,I,small_cnn,30,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,30,28days,2024-01,Test,0.549,0.0,0.0,0.5,0.7254
ADAUSDT,I,small_cnn,30,28days,2024-03,Test,0.5291,0.0,0.0,0.5,0.7354
ADAUSDT,I,small_cnn,30,28days,2024-04,Test,0.5491,0.0,0.0,0.5,0.7254
ADAUSDT,I,small_cnn,30,28days,2024-11,Test,0.5309,0.0,0.0,0.5,0.7346
ADAUSDT,I,small_cnn,30,28days,2024-12,Test,0.5215,0.0,0.0,0.5,0.7392
ADAUSDT,I,small_cnn,30,28days,2024-09,Train,0.589,0.0,0.0,0.5,0.7054
ADAUSDT,I,small_cnn,30,7days,2024-01,Test,0.465,0.6348,1.0,0.5,0.7325
ADAUSDT,I,small_cnn,30,7days,2024-03,Test,0.4852,0.6534,1.0,0.5,0.7426
ADAUSDT,I,small_cnn,30,7days,2024-04,Test,0.4443,0.6153,1.0,0.5,0.7222
ADAUSDT,I,small_cnn,30,7days,2024-11,Test,0.4203,0.5918,1.0,0.5,0.7101
ADAUSDT,I,small_cnn,30,7days,2024-12,Test,0.4886,0.6565,1.0,0.5,0.7443
ADAUSDT,I,small_cnn,30,7days,2024-09,Train,0.4208,0.5923,1.0,0.5,0.7104
ADAUSDT,I,small_cnn,5,14days,2024-01,Test,0.9995,0.9994,0.9988,0.9999,0.9999
ADAUSDT,I,small_cnn,5,14days,2024-03,Test,0.9983,0.9982,0.9963,0.9997,0.9998
ADAUSDT,I,small_cnn,5,14days,2024-04,Test,0.9996,0.9996,0.9991,0.9999,0.9999
ADAUSDT,I,small_cnn,5,14days,2024-11,Test,0.9982,0.998,0.9959,0.9998,0.9998
ADAUSDT,I,small_cnn,5,14days,2024-12,Test,0.9921,0.9917,0.9836,0.997,0.9979
ADAUSDT,I,small_cnn,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,5,21days,2024-01,Test,0.9999,0.9999,0.9999,1.0,1.0
ADAUSDT,I,small_cnn,5,21days,2024-03,Test,0.9993,0.9992,0.9985,1.0,1.0
ADAUSDT,I,small_cnn,5,21days,2024-04,Test,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,I,small_cnn,5,21days,2024-11,Test,0.9988,0.9987,0.9974,1.0,1.0
ADAUSDT,I,small_cnn,5,21days,2024-12,Test,0.9954,0.9952,0.9905,0.9995,0.9996
ADAUSDT,I,small_cnn,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,5,28days,2024-01,Test,0.9994,0.9993,0.9986,1.0,1.0
ADAUSDT,I,small_cnn,5,28days,2024-03,Test,0.9977,0.9976,0.9952,0.9998,0.9999
ADAUSDT,I,small_cnn,5,28days,2024-04,Test,0.9991,0.999,0.998,0.9999,1.0
ADAUSDT,I,small_cnn,5,28days,2024-11,Test,0.9952,0.9949,0.9898,0.999,0.9992
ADAUSDT,I,small_cnn,5,28days,2024-12,Test,0.9934,0.993,0.9862,0.9983,0.9988
ADAUSDT,I,small_cnn,5,28days,2024-09,Train,1.0,1.0,0.9999,1.0,1.0
ADAUSDT,I,small_cnn,5,7days,2024-01,Test,0.9997,0.9997,0.9994,0.9999,1.0
ADAUSDT,I,small_cnn,5,7days,2024-03,Test,0.9989,0.9989,0.9977,0.9998,0.9998
ADAUSDT,I,small_cnn,5,7days,2024-04,Test,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,I,small_cnn,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,small_cnn,5,7days,2024-12,Test,0.9937,0.9936,0.9872,0.9982,0.9986
ADAUSDT,I,small_cnn,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,15,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,15,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,30,14days,2024-09,Train,0.5892,0.0,0.0,0.6282,0.5201
ADAUSDT,I,edgenext,30,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,30,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,30,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,30,14days,2024-12,Test,0.5154,0.0,0.0,0.6099,0.5867
ADAUSDT,I,edgenext,30,14days,2024-11,Test,0.5489,0.0,0.0,0.6648,0.7298
ADAUSDT,I,edgenext,30,21days,2024-11,Test,0.5375,0.0,0.0,0.498,0.432
ADAUSDT,I,edgenext,30,21days,2024-09,Train,0.5936,0.0,0.0,0.6773,0.6603
ADAUSDT,I,edgenext,30,21days,2024-01,Test,0.5441,0.0,0.0,0.4237,0.4003
ADAUSDT,I,edgenext,30,21days,2024-04,Test,0.5477,0.0,0.0,0.7671,0.7325
ADAUSDT,I,edgenext,30,21days,2024-03,Test,0.5248,0.0,0.0,0.6454,0.7748
ADAUSDT,I,edgenext,30,21days,2024-12,Test,0.5194,0.0,0.0,0.5087,0.4876
ADAUSDT,I,edgenext,30,7days,2024-09,Train,0.5792,0.0,0.0,0.5786,0.5017
ADAUSDT,I,edgenext,30,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,30,7days,2024-03,Test,0.5148,0.0,0.0,0.7655,0.762
ADAUSDT,I,edgenext,30,7days,2024-04,Test,0.5557,0.0,0.0,0.6289,0.5696
ADAUSDT,I,edgenext,30,7days,2024-01,Test,0.9999,0.9999,1.0,1.0,1.0
ADAUSDT,I,edgenext,30,7days,2024-11,Test,0.5797,0.0,0.0,0.5383,0.4555
ADAUSDT,I,edgenext,5,14days,2024-11,Test,0.549,0.0,0.0,0.7654,0.6775
ADAUSDT,I,edgenext,5,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,14days,2024-09,Train,1.0,0.9999,0.9999,1.0,1.0
ADAUSDT,I,edgenext,5,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,21days,2024-12,Test,0.5195,0.0,0.0,0.768,0.7657
ADAUSDT,I,edgenext,5,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,21days,2024-09,Train,0.5937,0.0,0.0,0.7572,0.6776
ADAUSDT,I,edgenext,5,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,28days,2024-01,Test,0.549,0.0,0.0,0.7199,0.6468
ADAUSDT,I,edgenext,5,28days,2024-04,Test,0.5491,0.0,0.0,0.8033,0.8039
ADAUSDT,I,edgenext,5,28days,2024-12,Test,0.5216,0.0,0.0,0.7147,0.6891
ADAUSDT,I,edgenext,5,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,7days,2024-01,Test,0.535,0.0,0.0,0.7545,0.7044
ADAUSDT,I,edgenext,5,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,edgenext,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,7days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,15,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,21days,2024-09,Train,0.9929,0.9911,0.9824,1.0,1.0
ADAUSDT,I,ghostnet,30,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,7days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,30,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,7days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,ghostnet,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,14days,2024-04,Test,0.9999,0.9998,0.9997,1.0,1.0
ADAUSDT,I,levit,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,14days,2024-09,Train,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,I,levit,15,14days,2024-12,Test,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,I,levit,15,21days,2024-04,Test,1.0,1.0,0.9999,1.0,1.0
ADAUSDT,I,levit,15,21days,2024-01,Test,0.9999,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,15,21days,2024-09,Train,1.0,1.0,0.9999,1.0,1.0
ADAUSDT,I,levit,15,21days,2024-03,Test,0.9998,0.9998,0.9999,1.0,1.0
ADAUSDT,I,levit,15,21days,2024-12,Test,0.9999,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,15,21days,2024-11,Test,0.9996,0.9996,0.9993,1.0,1.0
ADAUSDT,I,levit,15,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,15,28days,2024-12,Test,1.0,1.0,0.9999,1.0,1.0
ADAUSDT,I,levit,15,28days,2024-01,Test,1.0,0.9999,0.9999,0.9999,0.9999
ADAUSDT,I,levit,15,7days,2024-04,Test,0.9992,0.9991,0.9993,1.0,1.0
ADAUSDT,I,levit,15,7days,2024-03,Test,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,I,levit,15,7days,2024-12,Test,0.9996,0.9996,0.9994,1.0,1.0
ADAUSDT,I,levit,15,7days,2024-09,Train,0.9999,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,15,7days,2024-01,Test,0.9909,0.9902,0.9891,0.9955,0.9972
ADAUSDT,I,levit,15,7days,2024-11,Test,0.9997,0.9996,0.9993,1.0,1.0
ADAUSDT,I,levit,30,14days,2024-12,Test,1.0,0.9999,0.9999,1.0,1.0
ADAUSDT,I,levit,30,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,30,14days,2024-03,Test,0.9998,0.9998,0.9996,1.0,1.0
ADAUSDT,I,levit,30,14days,2024-01,Test,1.0,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,30,14days,2024-11,Test,1.0,0.9999,0.9999,1.0,1.0
ADAUSDT,I,levit,30,14days,2024-04,Test,0.9978,0.9975,0.9996,0.999,0.994
ADAUSDT,I,levit,30,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,30,21days,2024-09,Train,0.9997,0.9997,0.9993,0.9998,0.9999
ADAUSDT,I,levit,30,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,30,21days,2024-12,Test,1.0,1.0,0.9999,1.0,1.0
ADAUSDT,I,levit,30,21days,2024-01,Test,1.0,1.0,0.9999,1.0,1.0
ADAUSDT,I,levit,30,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,30,28days,2024-11,Test,0.9999,0.9999,0.9999,1.0,1.0
ADAUSDT,I,levit,30,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,30,28days,2024-09,Train,0.9998,0.9997,0.9999,1.0,1.0
ADAUSDT,I,levit,30,28days,2024-01,Test,1.0,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,30,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,30,28days,2024-04,Test,1.0,0.9999,0.9999,1.0,1.0
ADAUSDT,I,levit,30,7days,2024-03,Test,0.9486,0.9478,0.9615,0.9655,0.905
ADAUSDT,I,levit,30,7days,2024-09,Train,0.9998,0.9998,0.9998,1.0,1.0
ADAUSDT,I,levit,30,7days,2024-12,Test,0.9994,0.9994,0.9998,1.0,1.0
ADAUSDT,I,levit,30,7days,2024-11,Test,0.9991,0.9989,0.9979,1.0,1.0
ADAUSDT,I,levit,30,7days,2024-01,Test,0.9996,0.9996,0.9994,1.0,1.0
ADAUSDT,I,levit,30,7days,2024-04,Test,0.9981,0.9979,0.9966,0.9998,0.9986
ADAUSDT,I,levit,5,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,14days,2024-09,Train,1.0,0.9999,0.9999,1.0,1.0
ADAUSDT,I,levit,5,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,14days,2024-11,Test,0.9966,0.9962,0.9975,0.9999,0.9999
ADAUSDT,I,levit,5,21days,2024-12,Test,0.9996,0.9996,0.9992,0.9996,0.9998
ADAUSDT,I,levit,5,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,28days,2024-03,Test,1.0,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,5,28days,2024-01,Test,0.9999,0.9999,1.0,1.0,1.0
ADAUSDT,I,levit,5,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,7days,2024-04,Test,0.9997,0.9997,0.9998,1.0,1.0
ADAUSDT,I,levit,5,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,7days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,levit,5,7days,2024-09,Train,0.9996,0.9995,0.9995,1.0,1.0
ADAUSDT,I,levit,5,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,mobilenetv3,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ADAUSDT,I,mobilenetv3,15,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
