Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BNBUSDT,I,small_cnn,15,14days,2024-01,Test,0.9996,0.9995,0.999,1.0,1.0
BNBUSDT,I,small_cnn,15,14days,2024-03,Test,0.9985,0.9983,0.9966,0.9998,0.9998
BNBUSDT,I,small_cnn,15,14days,2024-04,Test,0.9991,0.999,0.9979,0.9999,0.9999
BNBUSDT,I,small_cnn,15,14days,2024-08,Test,0.9988,0.9986,0.9973,0.9999,0.9999
BNBUSDT,I,small_cnn,15,14days,2024-12,Test,0.9731,0.9724,0.9464,0.9924,0.9946
BNBUSDT,I,small_cnn,15,14days,2024-10,Train,1.0,0.9999,0.9999,1.0,1.0
BNBUSDT,I,small_cnn,15,21days,2024-01,Test,0.9997,0.9996,0.9991,0.9999,0.9999
BNBUSDT,I,small_cnn,15,21days,2024-03,Test,0.996,0.9954,0.9909,0.9991,0.9993
BNBUSDT,I,small_cnn,15,21days,2024-04,Test,0.998,0.9978,0.9955,0.9996,0.9997
BNBUSDT,I,small_cnn,15,21days,2024-08,Test,0.9983,0.9981,0.9962,0.9996,0.9996
BNBUSDT,I,small_cnn,15,21days,2024-12,Test,0.9676,0.9666,0.9354,0.9848,0.9899
BNBUSDT,I,small_cnn,15,21days,2024-10,Train,0.9997,0.9996,0.9992,1.0,1.0
BNBUSDT,I,small_cnn,15,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,I,small_cnn,15,28days,2024-03,Test,0.9996,0.9996,0.9991,0.9999,0.9999
BNBUSDT,I,small_cnn,15,28days,2024-04,Test,0.9999,0.9999,0.9997,1.0,1.0
BNBUSDT,I,small_cnn,15,28days,2024-08,Test,0.9999,0.9999,0.9997,1.0,1.0
BNBUSDT,I,small_cnn,15,28days,2024-12,Test,0.9892,0.9891,0.9784,0.9933,0.9958
BNBUSDT,I,small_cnn,15,28days,2024-10,Train,1.0,1.0,1.0,1.0,1.0
BNBUSDT,I,small_cnn,15,7days,2024-01,Test,0.9997,0.9996,0.9992,1.0,1.0
BNBUSDT,I,small_cnn,15,7days,2024-03,Test,0.9995,0.9994,0.9988,1.0,1.0
BNBUSDT,I,small_cnn,15,7days,2024-04,Test,0.9998,0.9998,0.9998,1.0,1.0
BNBUSDT,I,small_cnn,15,7days,2024-08,Test,0.9989,0.9988,0.9975,1.0,1.0
BNBUSDT,I,small_cnn,15,7days,2024-12,Test,0.9788,0.9787,0.9583,0.9967,0.9975
BNBUSDT,I,small_cnn,15,7days,2024-10,Train,1.0,1.0,1.0,1.0,1.0
BNBUSDT,I,small_cnn,30,14days,2024-01,Test,0.9996,0.9994,1.0,1.0,1.0
BNBUSDT,I,small_cnn,30,14days,2024-03,Test,0.9989,0.9987,0.9999,1.0,1.0
BNBUSDT,I,small_cnn,30,14days,2024-04,Test,0.9988,0.9986,0.9993,0.9999,0.9999
BNBUSDT,I,small_cnn,30,14days,2024-08,Test,0.9989,0.9987,0.9995,1.0,1.0
BNBUSDT,I,small_cnn,30,14days,2024-12,Test,0.9949,0.9949,0.9921,0.9995,0.9996
BNBUSDT,I,small_cnn,30,14days,2024-10,Train,0.9992,0.999,1.0,1.0,1.0
BNBUSDT,I,small_cnn,30,21days,2024-01,Test,0.6205,0.0,0.0,0.5,0.6897
BNBUSDT,I,small_cnn,30,21days,2024-03,Test,0.5554,0.0,0.0,0.5,0.7223
BNBUSDT,I,small_cnn,30,21days,2024-04,Test,0.5643,0.0,0.0,0.5,0.7178
BNBUSDT,I,small_cnn,30,21days,2024-08,Test,0.5696,0.0,0.0,0.5,0.7152
BNBUSDT,I,small_cnn,30,21days,2024-12,Test,0.4985,0.0,0.0,0.5,0.7507
BNBUSDT,I,small_cnn,30,21days,2024-10,Train,0.5998,0.0,0.0,0.5,0.7001
BNBUSDT,I,small_cnn,30,28days,2024-01,Test,0.373,0.5433,1.0,0.5,0.6865
BNBUSDT,I,small_cnn,30,28days,2024-03,Test,0.4443,0.6153,1.0,0.5,0.7222
BNBUSDT,I,small_cnn,30,28days,2024-04,Test,0.4358,0.607,1.0,0.5,0.7179
BNBUSDT,I,small_cnn,30,28days,2024-08,Test,0.4308,0.6021,1.0,0.5,0.7154
BNBUSDT,I,small_cnn,30,28days,2024-12,Test,0.5006,0.6672,1.0,0.5,0.7503
BNBUSDT,I,small_cnn,30,28days,2024-10,Train,0.3961,0.5674,1.0,0.5,0.698
BNBUSDT,I,small_cnn,30,7days,2024-01,Test,0.609,0.0,0.0,0.5,0.6955
BNBUSDT,I,small_cnn,30,7days,2024-03,Test,0.5803,0.0,0.0,0.5,0.7098
BNBUSDT,I,small_cnn,30,7days,2024-04,Test,0.5724,0.0,0.0,0.5,0.7138
