Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BTCUSDT,I,small_cnn,15,14days,2024-01,Test,0.9961,0.9961,0.9928,1.0,1.0
BTCUSDT,I,small_cnn,15,14days,2024-03,Test,0.994,0.994,0.9881,1.0,1.0
BTCUSDT,I,small_cnn,15,14days,2024-04,Test,0.9957,0.9956,0.9915,1.0,1.0
BTCUSDT,I,small_cnn,15,14days,2024-08,Test,0.9973,0.9972,0.9947,1.0,1.0
BTCUSDT,I,small_cnn,15,14days,2024-12,Test,0.996,0.9959,0.9922,1.0,1.0
BTCUSDT,I,small_cnn,15,14days,2024-06,Train,0.9937,0.9932,0.987,0.9999,0.9999
BTCUSDT,I,small_cnn,15,21days,2024-01,Test,0.9996,0.9996,0.9997,1.0,1.0
BTCUSDT,I,small_cnn,15,21days,2024-03,Test,0.9996,0.9996,0.9995,1.0,1.0
BTCUSDT,I,small_cnn,15,21days,2024-04,Test,0.9998,0.9998,1.0,1.0,1.0
BTCUSDT,I,small_cnn,15,21days,2024-08,Test,0.9997,0.9997,0.9999,1.0,1.0
BTCUSDT,I,small_cnn,15,21days,2024-12,Test,0.9997,0.9997,0.9999,1.0,1.0
BTCUSDT,I,small_cnn,15,21days,2024-06,Train,0.9975,0.9973,0.9989,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-01,Test,0.9974,0.9974,0.995,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-03,Test,0.9984,0.9984,0.9969,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-04,Test,0.9986,0.9986,0.9975,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-08,Test,0.9986,0.9985,0.9971,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-12,Test,0.9988,0.9988,0.9976,1.0,1.0
BTCUSDT,I,small_cnn,15,28days,2024-06,Train,0.9909,0.9902,0.9806,0.9998,0.9998
BTCUSDT,I,small_cnn,15,7days,2024-01,Test,0.9929,0.9929,0.9867,0.9998,0.9998
BTCUSDT,I,small_cnn,15,7days,2024-03,Test,0.9967,0.9968,0.9946,1.0,1.0
BTCUSDT,I,small_cnn,15,7days,2024-04,Test,0.9943,0.9942,0.9895,0.9999,0.9999
BTCUSDT,I,small_cnn,15,7days,2024-08,Test,0.998,0.998,0.9964,1.0,1.0
BTCUSDT,I,small_cnn,15,7days,2024-12,Test,0.9946,0.9946,0.9902,0.9999,0.9999
BTCUSDT,I,small_cnn,15,7days,2024-06,Train,0.9932,0.9927,0.9864,0.9999,0.9999
BTCUSDT,I,small_cnn,30,14days,2024-01,Test,0.5041,0.6703,1.0,0.5,0.752
