Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
DOGEUSDT,I,small_cnn,15,14days,2024-03,Test,0.5008,0.0,0.0,0.5,0.7496
DOGEUSDT,I,small_cnn,15,14days,2024-04,Test,0.5086,0.0,0.0,0.5,0.7457
DOGEUSDT,I,small_cnn,15,14days,2024-08,Test,0.5232,0.0,0.0,0.5,0.7384
DOGEUSDT,I,small_cnn,15,14days,2024-11,Test,0.5041,0.0,0.0,0.5,0.7479
DOGEUSDT,I,small_cnn,15,14days,2024-12,Test,0.5031,0.0,0.0,0.5,0.7485
DOGEUSDT,I,small_cnn,15,14days,2024-09,Train,0.5295,0.0,0.0,0.5,0.7352
DOGEUSDT,I,small_cnn,15,21days,2024-03,Test,0.9954,0.9954,0.9908,0.9995,0.9996
DOGEUSDT,I,small_cnn,15,21days,2024-04,Test,0.9973,0.9972,0.9945,0.9998,0.9998
DOGEUSDT,I,small_cnn,15,21days,2024-08,Test,0.9994,0.9994,0.9988,1.0,1.0
DOGEUSDT,I,small_cnn,15,21days,2024-11,Test,0.9937,0.9936,0.9873,0.9996,0.9996
DOGEUSDT,I,small_cnn,15,21days,2024-12,Test,0.9934,0.9933,0.9867,0.9995,0.9996
DOGEUSDT,I,small_cnn,15,21days,2024-09,Train,0.9999,0.9999,0.9999,1.0,1.0
DOGEUSDT,I,small_cnn,15,28days,2024-03,Test,0.9968,0.9967,0.9935,1.0,1.0
DOGEUSDT,I,small_cnn,15,28days,2024-04,Test,0.9983,0.9983,0.9966,1.0,1.0
DOGEUSDT,I,small_cnn,15,28days,2024-08,Test,0.9996,0.9995,0.9991,1.0,1.0
DOGEUSDT,I,small_cnn,15,28days,2024-11,Test,0.9953,0.9952,0.9905,0.9999,0.9999
DOGEUSDT,I,small_cnn,15,28days,2024-12,Test,0.9955,0.9955,0.991,0.9999,0.9999
DOGEUSDT,I,small_cnn,15,28days,2024-09,Train,1.0,1.0,0.9999,1.0,1.0
DOGEUSDT,I,small_cnn,15,7days,2024-03,Test,0.9946,0.9947,0.9894,1.0,1.0
DOGEUSDT,I,small_cnn,15,7days,2024-04,Test,0.9963,0.9962,0.9925,1.0,1.0
DOGEUSDT,I,small_cnn,15,7days,2024-08,Test,0.9988,0.9988,0.9975,1.0,1.0
DOGEUSDT,I,small_cnn,15,7days,2024-11,Test,0.9963,0.9962,0.9924,1.0,1.0
DOGEUSDT,I,small_cnn,15,7days,2024-12,Test,0.9933,0.9934,0.9868,1.0,1.0
DOGEUSDT,I,small_cnn,15,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,30,14days,2024-03,Test,0.9994,0.9994,0.9999,1.0,1.0
DOGEUSDT,I,small_cnn,30,14days,2024-04,Test,0.9997,0.9997,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,30,14days,2024-08,Test,0.9986,0.9985,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,30,14days,2024-11,Test,0.9996,0.9996,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,30,14days,2024-12,Test,0.9999,0.9999,0.9999,1.0,1.0
DOGEUSDT,I,small_cnn,30,14days,2024-09,Train,0.9968,0.9966,0.9999,1.0,1.0
DOGEUSDT,I,small_cnn,30,21days,2024-03,Test,0.5045,0.0,0.0,0.5,0.7477
DOGEUSDT,I,small_cnn,30,21days,2024-04,Test,0.5084,0.0,0.0,0.5,0.7458
DOGEUSDT,I,small_cnn,30,21days,2024-08,Test,0.5275,0.0,0.0,0.5,0.7363
DOGEUSDT,I,small_cnn,30,21days,2024-11,Test,0.5039,0.0,0.0,0.5,0.748
DOGEUSDT,I,small_cnn,30,21days,2024-12,Test,0.5055,0.0,0.0,0.5,0.7473
DOGEUSDT,I,small_cnn,30,21days,2024-09,Train,0.5289,0.0,0.0,0.5,0.7355
DOGEUSDT,I,small_cnn,30,28days,2024-03,Test,0.4929,0.6604,1.0,0.5,0.7465
DOGEUSDT,I,small_cnn,30,28days,2024-04,Test,0.491,0.6586,1.0,0.5,0.7455
DOGEUSDT,I,small_cnn,30,28days,2024-08,Test,0.4738,0.6429,1.0,0.5,0.7369
DOGEUSDT,I,small_cnn,30,28days,2024-11,Test,0.4959,0.663,1.0,0.5,0.7479
DOGEUSDT,I,small_cnn,30,28days,2024-12,Test,0.4942,0.6615,1.0,0.5,0.7471
DOGEUSDT,I,small_cnn,30,28days,2024-09,Train,0.4732,0.6424,1.0,0.5,0.7366
DOGEUSDT,I,small_cnn,30,7days,2024-03,Test,0.5081,0.6738,1.0,0.4964,0.4963
DOGEUSDT,I,small_cnn,30,7days,2024-04,Test,0.4907,0.6583,1.0,0.4997,0.4866
DOGEUSDT,I,small_cnn,30,7days,2024-08,Test,0.4816,0.6501,1.0,0.4999,0.4783
DOGEUSDT,I,small_cnn,30,7days,2024-11,Test,0.485,0.6532,1.0,0.5016,0.4826
DOGEUSDT,I,small_cnn,30,7days,2024-12,Test,0.5059,0.6719,1.0,0.4967,0.4932
DOGEUSDT,I,small_cnn,30,7days,2024-09,Train,0.4719,0.6412,1.0,0.4968,0.4666
DOGEUSDT,I,small_cnn,5,14days,2024-03,Test,0.9976,0.9976,0.9951,0.9997,0.9998
DOGEUSDT,I,small_cnn,5,14days,2024-04,Test,0.9985,0.9984,0.9969,0.9999,0.9999
DOGEUSDT,I,small_cnn,5,14days,2024-08,Test,0.9998,0.9997,0.9995,1.0,1.0
DOGEUSDT,I,small_cnn,5,14days,2024-11,Test,0.9975,0.9974,0.9949,0.9997,0.9998
DOGEUSDT,I,small_cnn,5,14days,2024-12,Test,0.9967,0.9967,0.9934,0.9997,0.9997
DOGEUSDT,I,small_cnn,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,5,21days,2024-03,Test,0.9985,0.9985,0.9969,0.9995,0.9996
DOGEUSDT,I,small_cnn,5,21days,2024-04,Test,0.999,0.999,0.998,0.9997,0.9998
DOGEUSDT,I,small_cnn,5,21days,2024-08,Test,0.9999,0.9999,0.9997,1.0,1.0
DOGEUSDT,I,small_cnn,5,21days,2024-11,Test,0.998,0.998,0.9961,0.9993,0.9995
DOGEUSDT,I,small_cnn,5,21days,2024-12,Test,0.9976,0.9976,0.9951,0.9992,0.9994
DOGEUSDT,I,small_cnn,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,5,28days,2024-03,Test,0.9988,0.9988,0.9976,0.9995,0.9996
DOGEUSDT,I,small_cnn,5,28days,2024-04,Test,0.9994,0.9994,0.9988,0.9998,0.9999
DOGEUSDT,I,small_cnn,5,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,small_cnn,5,28days,2024-11,Test,0.998,0.998,0.996,0.9993,0.9995
DOGEUSDT,I,small_cnn,5,28days,2024-12,Test,0.9982,0.9982,0.9964,0.9994,0.9995
DOGEUSDT,I,small_cnn,5,28days,2024-09,Train,1.0,1.0,0.9999,1.0,1.0
DOGEUSDT,I,small_cnn,5,7days,2024-03,Test,0.9973,0.9974,0.9947,0.9997,0.9997
DOGEUSDT,I,small_cnn,5,7days,2024-04,Test,0.9983,0.9983,0.9966,0.9998,0.9998
DOGEUSDT,I,small_cnn,5,7days,2024-08,Test,0.9995,0.9995,0.999,1.0,1.0
DOGEUSDT,I,small_cnn,5,7days,2024-11,Test,0.9983,0.9983,0.9965,1.0,1.0
DOGEUSDT,I,small_cnn,5,7days,2024-12,Test,0.9962,0.9963,0.9925,0.9995,0.9996
DOGEUSDT,I,small_cnn,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,15,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,15,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,30,7days,2024-09,Train,0.5281,0.0,0.0,0.6891,0.673
DOGEUSDT,I,edgenext,30,7days,2024-03,Test,0.9876,0.9876,0.9755,0.9896,0.9936
DOGEUSDT,I,edgenext,5,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,14days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,7days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,7days,2024-12,Test,0.9974,0.9974,0.9949,0.9999,0.9999
DOGEUSDT,I,edgenext,5,7days,2024-09,Train,0.9373,0.9377,1.0,0.9502,0.9091
DOGEUSDT,I,edgenext,5,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,edgenext,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,14days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,7days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,15,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,14days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,7days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,7days,2024-09,Train,0.9918,0.9913,0.9827,1.0,1.0
DOGEUSDT,I,ghostnet,30,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,30,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,14days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,21days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,7days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,ghostnet,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,levit,15,14days,2024-04,Test,0.9985,0.9984,0.9999,0.9985,0.9932
DOGEUSDT,I,levit,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
DOGEUSDT,I,levit,15,14days,2024-11,Test,0.9998,0.9997,0.9999,1.0,1.0
