Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ETHUSDT,I,small_cnn,15,14days,2024-02,Test,0.9958,0.9958,0.9926,0.9999,0.9999
ETHUSDT,I,small_cnn,15,14days,2024-03,Test,0.9985,0.9985,0.9971,1.0,1.0
ETHUSDT,I,small_cnn,15,14days,2024-04,Test,0.9991,0.9991,0.9982,1.0,1.0
ETHUSDT,I,small_cnn,15,14days,2024-05,Test,0.9982,0.9981,0.9964,1.0,1.0
ETHUSDT,I,small_cnn,15,14days,2024-08,Test,0.9994,0.9993,0.9987,1.0,1.0
ETHUSDT,I,small_cnn,15,14days,2024-06,Train,0.999,0.9989,0.9979,1.0,1.0
ETHUSDT,I,small_cnn,15,21days,2024-02,Test,0.9983,0.9983,0.9979,1.0,1.0
ETHUSDT,I,small_cnn,15,21days,2024-03,Test,0.9996,0.9996,0.9994,1.0,1.0
ETHUSDT,I,small_cnn,15,21days,2024-04,Test,0.9997,0.9997,0.9994,1.0,1.0
ETHUSDT,I,small_cnn,15,21days,2024-05,Test,0.9993,0.9993,0.9991,1.0,1.0
ETHUSDT,I,small_cnn,15,21days,2024-08,Test,0.9998,0.9998,0.9998,1.0,1.0
ETHUSDT,I,small_cnn,15,21days,2024-06,Train,0.9997,0.9997,0.9996,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-02,Test,0.9991,0.9991,0.9989,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-03,Test,0.9998,0.9998,0.9998,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-04,Test,0.9999,0.9999,0.9998,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-05,Test,0.9996,0.9996,0.9997,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-08,Test,0.9999,0.9999,0.9999,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-06,Train,0.9997,0.9997,0.9998,1.0,1.0
ETHUSDT,I,small_cnn,15,7days,2024-02,Test,0.4889,0.6567,1.0,0.5249,0.4999
ETHUSDT,I,small_cnn,15,7days,2024-03,Test,0.5101,0.6756,1.0,0.525,0.5258
ETHUSDT,I,small_cnn,15,7days,2024-04,Test,0.4973,0.6643,1.0,0.5301,0.5208
ETHUSDT,I,small_cnn,15,7days,2024-05,Test,0.4983,0.6652,1.0,0.5149,0.5061
ETHUSDT,I,small_cnn,15,7days,2024-08,Test,0.4941,0.6614,1.0,0.5217,0.506
ETHUSDT,I,small_cnn,15,7days,2024-06,Train,0.4904,0.658,1.0,0.5161,0.4986
ETHUSDT,I,small_cnn,30,14days,2024-02,Test,0.5038,0.0,0.0,0.5,0.7481
ETHUSDT,I,small_cnn,30,14days,2024-03,Test,0.497,0.0,0.0,0.5,0.7515
ETHUSDT,I,small_cnn,30,14days,2024-04,Test,0.5021,0.0,0.0,0.5,0.749
ETHUSDT,I,small_cnn,30,14days,2024-05,Test,0.506,0.0,0.0,0.5,0.747
ETHUSDT,I,small_cnn,30,14days,2024-08,Test,0.5051,0.0,0.0,0.5,0.7474
ETHUSDT,I,small_cnn,30,14days,2024-06,Train,0.5113,0.0,0.0,0.5,0.7444
ETHUSDT,I,small_cnn,30,21days,2024-02,Test,0.5031,0.0,0.0,0.5,0.7484
ETHUSDT,I,small_cnn,30,21days,2024-03,Test,0.5007,0.0,0.0,0.5,0.7496
ETHUSDT,I,small_cnn,30,21days,2024-04,Test,0.5023,0.0,0.0,0.5,0.7488
ETHUSDT,I,small_cnn,30,21days,2024-05,Test,0.5038,0.0,0.0,0.5,0.7481
ETHUSDT,I,small_cnn,30,21days,2024-08,Test,0.5038,0.0,0.0,0.5,0.7481
ETHUSDT,I,small_cnn,30,21days,2024-06,Train,0.5084,0.0,0.0,0.5,0.7458
ETHUSDT,I,small_cnn,30,28days,2024-02,Test,0.5006,0.0,0.0,0.5,0.7497
ETHUSDT,I,small_cnn,30,28days,2024-03,Test,0.5045,0.0,0.0,0.5,0.7477
ETHUSDT,I,small_cnn,30,28days,2024-04,Test,0.4996,0.0,0.0,0.5,0.7502
ETHUSDT,I,small_cnn,30,28days,2024-05,Test,0.5051,0.0,0.0,0.5,0.7474
ETHUSDT,I,small_cnn,30,28days,2024-08,Test,0.504,0.0,0.0,0.5,0.748
ETHUSDT,I,small_cnn,30,28days,2024-06,Train,0.5101,0.0,0.0,0.5,0.745
ETHUSDT,I,small_cnn,30,7days,2024-02,Test,0.9748,0.9747,0.9929,0.9981,0.998
ETHUSDT,I,small_cnn,30,7days,2024-03,Test,0.997,0.9971,0.999,0.9999,0.9999
ETHUSDT,I,small_cnn,30,7days,2024-04,Test,0.9942,0.9942,0.9974,0.9998,0.9998
ETHUSDT,I,small_cnn,30,7days,2024-05,Test,0.9954,0.9954,0.9986,0.9999,0.9999
ETHUSDT,I,small_cnn,30,7days,2024-08,Test,0.9982,0.9982,0.9996,1.0,1.0
ETHUSDT,I,small_cnn,30,7days,2024-06,Train,0.989,0.9888,0.9984,0.9994,0.9994
ETHUSDT,I,small_cnn,5,14days,2024-02,Test,0.9971,0.997,0.9941,0.9999,0.9999
ETHUSDT,I,small_cnn,5,14days,2024-03,Test,0.9958,0.9958,0.9916,1.0,1.0
ETHUSDT,I,small_cnn,5,14days,2024-04,Test,0.9965,0.9965,0.9929,1.0,1.0
ETHUSDT,I,small_cnn,5,14days,2024-05,Test,0.9959,0.9958,0.9917,1.0,1.0
ETHUSDT,I,small_cnn,5,14days,2024-08,Test,0.9971,0.997,0.9941,1.0,1.0
ETHUSDT,I,small_cnn,5,14days,2024-06,Train,0.9958,0.9957,0.9914,1.0,1.0
ETHUSDT,I,small_cnn,5,21days,2024-02,Test,0.9994,0.9994,0.9991,1.0,1.0
ETHUSDT,I,small_cnn,5,21days,2024-03,Test,0.9997,0.9997,0.9994,1.0,1.0
ETHUSDT,I,small_cnn,5,21days,2024-04,Test,0.9998,0.9998,0.9997,1.0,1.0
ETHUSDT,I,small_cnn,5,21days,2024-05,Test,0.9995,0.9995,0.999,1.0,1.0
ETHUSDT,I,small_cnn,5,21days,2024-08,Test,0.9999,0.9999,0.9998,1.0,1.0
ETHUSDT,I,small_cnn,5,21days,2024-06,Train,0.9998,0.9998,0.9996,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-02,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-05,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-02,Test,0.9941,0.994,0.9933,0.9998,0.9998
ETHUSDT,I,small_cnn,5,7days,2024-03,Test,0.9969,0.997,0.9953,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-04,Test,0.9962,0.9962,0.9936,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-05,Test,0.996,0.996,0.9934,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-08,Test,0.998,0.998,0.996,1.0,1.0
