Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
XRPUSDT,I,small_cnn,15,14days,2024-01,Test,0.9997,0.9997,0.9993,0.9999,0.9999
XRPUSDT,I,small_cnn,15,14days,2024-04,Test,0.9998,0.9997,0.9995,1.0,1.0
XRPUSDT,I,small_cnn,15,14days,2024-08,Test,0.9995,0.9995,0.9989,0.9999,1.0
XRPUSDT,I,small_cnn,15,14days,2024-11,Test,0.9994,0.9993,0.9987,0.9999,0.9999
XRPUSDT,I,small_cnn,15,14days,2024-12,Test,0.9934,0.9934,0.9868,0.9989,0.9992
XRPUSDT,I,small_cnn,15,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,small_cnn,15,21days,2024-01,Test,0.9995,0.9994,0.9988,1.0,1.0
XRPUSDT,I,small_cnn,15,21days,2024-04,Test,0.9994,0.9994,0.9987,0.9999,1.0
XRPUSDT,I,small_cnn,15,21days,2024-08,Test,0.9992,0.9991,0.9982,0.9999,0.9999
XRPUSDT,I,small_cnn,15,21days,2024-11,Test,0.9969,0.9966,0.9933,0.9988,0.9992
XRPUSDT,I,small_cnn,15,21days,2024-12,Test,0.9911,0.991,0.9821,0.9973,0.9982
XRPUSDT,I,small_cnn,15,21days,2024-09,Train,1.0,1.0,0.9999,1.0,1.0
XRPUSDT,I,small_cnn,15,28days,2024-01,Test,0.9998,0.9997,0.9997,1.0,1.0
XRPUSDT,I,small_cnn,15,28days,2024-04,Test,0.9998,0.9998,0.9998,1.0,1.0
XRPUSDT,I,small_cnn,15,28days,2024-08,Test,0.9999,0.9998,0.9998,0.9999,1.0
XRPUSDT,I,small_cnn,15,28days,2024-11,Test,0.9976,0.9975,0.9955,0.9991,0.9993
XRPUSDT,I,small_cnn,15,28days,2024-12,Test,0.9955,0.9954,0.9911,0.9982,0.9987
XRPUSDT,I,small_cnn,15,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,small_cnn,15,7days,2024-01,Test,0.5552,0.0,0.0,0.5,0.7224
