Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BNBUSDT,II,small_cnn,15,14days,2024-01,Test,0.9622,0.9619,0.9724,0.9948,0.9948
BNBUSDT,II,small_cnn,15,14days,2024-03,Test,0.9679,0.9693,0.9715,0.9963,0.9967
BNBUSDT,II,small_cnn,15,14days,2024-04,Test,0.9691,0.9683,0.9701,0.9966,0.9965
BNBUSDT,II,small_cnn,15,14days,2024-08,Test,0.9727,0.9723,0.9747,0.9974,0.9973
BNBUSDT,II,small_cnn,15,14days,2024-12,Test,0.971,0.9717,0.9636,0.9971,0.9974
BNBUSDT,II,small_cnn,15,1week,2024-10,Train,0.9934,0.9935,0.9952,0.9998,0.9998
BNBUSDT,II,small_cnn,15,21days,2024-01,Test,0.9583,0.9576,0.9696,0.9937,0.9935
BNBUSDT,II,small_cnn,15,21days,2024-03,Test,0.9705,0.9712,0.9716,0.9968,0.9971
BNBUSDT,II,small_cnn,15,21days,2024-04,Test,0.9711,0.9706,0.971,0.9969,0.9969
BNBUSDT,II,small_cnn,15,21days,2024-08,Test,0.972,0.9717,0.9752,0.9971,0.9971
BNBUSDT,II,small_cnn,15,21days,2024-12,Test,0.9713,0.9719,0.9623,0.9973,0.9975
BNBUSDT,II,small_cnn,15,28days,2024-01,Test,0.9579,0.9568,0.9701,0.9934,0.9931
BNBUSDT,II,small_cnn,15,28days,2024-03,Test,0.9706,0.9711,0.9719,0.9969,0.9971
BNBUSDT,II,small_cnn,15,28days,2024-04,Test,0.9705,0.9698,0.9703,0.9968,0.9967
BNBUSDT,II,small_cnn,15,28days,2024-08,Test,0.9722,0.9719,0.9756,0.9972,0.9972
BNBUSDT,II,small_cnn,15,28days,2024-12,Test,0.9716,0.9723,0.9631,0.9973,0.9976
BNBUSDT,II,small_cnn,30,14days,2024-01,Test,0.9566,0.957,0.9608,0.9939,0.9943
BNBUSDT,II,small_cnn,30,14days,2024-03,Test,0.9622,0.9649,0.9622,0.995,0.9959
BNBUSDT,II,small_cnn,30,14days,2024-04,Test,0.963,0.9628,0.9619,0.9949,0.9949
BNBUSDT,II,small_cnn,30,14days,2024-08,Test,0.9601,0.9603,0.9615,0.9947,0.9949
BNBUSDT,II,small_cnn,30,14days,2024-12,Test,0.963,0.9644,0.9575,0.9952,0.9958
BNBUSDT,II,small_cnn,30,1week,2024-10,Train,0.9911,0.9913,0.99,0.9997,0.9997
BNBUSDT,II,small_cnn,30,21days,2024-01,Test,0.9548,0.9548,0.9604,0.9935,0.9937
BNBUSDT,II,small_cnn,30,21days,2024-03,Test,0.9622,0.9637,0.9608,0.9952,0.9958
BNBUSDT,II,small_cnn,30,21days,2024-04,Test,0.9625,0.9624,0.962,0.995,0.9951
BNBUSDT,II,small_cnn,30,21days,2024-08,Test,0.9593,0.9602,0.9635,0.9946,0.995
BNBUSDT,II,small_cnn,30,21days,2024-12,Test,0.9639,0.965,0.9566,0.9955,0.9961
BNBUSDT,II,small_cnn,30,28days,2024-01,Test,0.954,0.9538,0.96,0.993,0.9932
BNBUSDT,II,small_cnn,30,28days,2024-03,Test,0.9625,0.9637,0.9617,0.9952,0.9957
BNBUSDT,II,small_cnn,30,28days,2024-04,Test,0.9611,0.9608,0.9613,0.9947,0.9947
BNBUSDT,II,small_cnn,30,28days,2024-08,Test,0.9608,0.9611,0.9634,0.9949,0.9951
BNBUSDT,II,small_cnn,30,28days,2024-12,Test,0.9641,0.9656,0.9579,0.9956,0.9962
