Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ETHUSDT,I,small_cnn,15,14days,2024-02,Test,0.9789,0.9795,0.9799,0.9985,0.9986
ETHUSDT,I,small_cnn,15,14days,2024-03,Test,0.9811,0.9818,0.9809,0.9989,0.999
ETHUSDT,I,small_cnn,15,14days,2024-04,Test,0.9798,0.9801,0.9797,0.9988,0.9988
ETHUSDT,I,small_cnn,15,14days,2024-05,Test,0.9784,0.9783,0.9815,0.9984,0.9984
ETHUSDT,I,small_cnn,15,14days,2024-08,Test,0.9812,0.981,0.982,0.9988,0.9988
ETHUSDT,I,small_cnn,15,14days,2024-06,Train,0.9943,0.9942,0.9952,0.9999,0.9999
ETHUSDT,I,small_cnn,15,21days,2024-02,Test,0.984,0.9845,0.9837,0.9992,0.9992
ETHUSDT,I,small_cnn,15,21days,2024-03,Test,0.9846,0.985,0.9841,0.9993,0.9993
ETHUSDT,I,small_cnn,15,21days,2024-04,Test,0.9842,0.9843,0.9831,0.9992,0.9992
ETHUSDT,I,small_cnn,15,21days,2024-05,Test,0.9838,0.9838,0.9835,0.999,0.9991
ETHUSDT,I,small_cnn,15,21days,2024-08,Test,0.9834,0.9832,0.9834,0.9991,0.9991
ETHUSDT,I,small_cnn,15,21days,2024-06,Train,0.9972,0.9972,0.9974,1.0,1.0
ETHUSDT,I,small_cnn,15,28days,2024-02,Test,0.9864,0.9869,0.9871,0.9993,0.9994
ETHUSDT,I,small_cnn,15,28days,2024-03,Test,0.9874,0.9877,0.9886,0.9995,0.9995
ETHUSDT,I,small_cnn,15,28days,2024-04,Test,0.9866,0.9867,0.9885,0.9994,0.9995
ETHUSDT,I,small_cnn,15,28days,2024-05,Test,0.9853,0.9854,0.9871,0.9993,0.9993
ETHUSDT,I,small_cnn,15,28days,2024-08,Test,0.9861,0.986,0.9871,0.9994,0.9994
ETHUSDT,I,small_cnn,15,28days,2024-06,Train,0.9971,0.9971,0.9968,1.0,1.0
ETHUSDT,I,small_cnn,15,7days,2024-02,Test,0.9714,0.9722,0.9838,0.9977,0.9978
ETHUSDT,I,small_cnn,15,7days,2024-03,Test,0.9766,0.9782,0.989,0.9982,0.9984
ETHUSDT,I,small_cnn,15,7days,2024-04,Test,0.9739,0.9745,0.9861,0.9981,0.9981
ETHUSDT,I,small_cnn,15,7days,2024-05,Test,0.9708,0.9716,0.9878,0.9976,0.9977
ETHUSDT,I,small_cnn,15,7days,2024-08,Test,0.9726,0.9713,0.9873,0.998,0.9977
ETHUSDT,I,small_cnn,15,7days,2024-06,Train,0.9901,0.9902,0.9978,0.9997,0.9997
ETHUSDT,I,small_cnn,30,14days,2024-02,Test,0.9777,0.979,0.9804,0.9983,0.9985
ETHUSDT,I,small_cnn,30,14days,2024-03,Test,0.9788,0.9795,0.9807,0.9984,0.9985
ETHUSDT,I,small_cnn,30,14days,2024-04,Test,0.9818,0.9821,0.9835,0.9988,0.9989
ETHUSDT,I,small_cnn,30,14days,2024-05,Test,0.9781,0.9783,0.9778,0.9983,0.9984
ETHUSDT,I,small_cnn,30,14days,2024-08,Test,0.9793,0.9791,0.9785,0.9985,0.9985
ETHUSDT,I,small_cnn,30,14days,2024-06,Train,0.9966,0.9966,0.9963,0.9999,0.9999
ETHUSDT,I,small_cnn,30,21days,2024-02,Test,0.9807,0.9817,0.9811,0.9988,0.999
ETHUSDT,I,small_cnn,30,21days,2024-03,Test,0.9826,0.9829,0.9817,0.999,0.9991
ETHUSDT,I,small_cnn,30,21days,2024-04,Test,0.9826,0.9827,0.9822,0.999,0.999
ETHUSDT,I,small_cnn,30,21days,2024-05,Test,0.9811,0.9815,0.9819,0.9988,0.9989
ETHUSDT,I,small_cnn,30,21days,2024-08,Test,0.9819,0.9819,0.9813,0.9989,0.9989
ETHUSDT,I,small_cnn,30,21days,2024-06,Train,0.9944,0.9944,0.9948,0.9999,0.9999
ETHUSDT,I,small_cnn,30,28days,2024-02,Test,0.9836,0.9846,0.981,0.9992,0.9993
ETHUSDT,I,small_cnn,30,28days,2024-03,Test,0.9848,0.9851,0.9817,0.9993,0.9993
ETHUSDT,I,small_cnn,30,28days,2024-04,Test,0.9848,0.9851,0.9827,0.9992,0.9993
ETHUSDT,I,small_cnn,30,28days,2024-05,Test,0.9842,0.9844,0.9802,0.9993,0.9993
ETHUSDT,I,small_cnn,30,28days,2024-08,Test,0.9845,0.9844,0.981,0.9992,0.9993
ETHUSDT,I,small_cnn,30,28days,2024-06,Train,0.9952,0.9951,0.9933,0.9999,0.9999
ETHUSDT,I,small_cnn,30,7days,2024-02,Test,0.961,0.9621,0.9412,0.9963,0.9968
ETHUSDT,I,small_cnn,30,7days,2024-03,Test,0.966,0.9673,0.9476,0.9974,0.9977
ETHUSDT,I,small_cnn,30,7days,2024-04,Test,0.9684,0.968,0.947,0.9978,0.9978
ETHUSDT,I,small_cnn,30,7days,2024-05,Test,0.9669,0.967,0.945,0.9973,0.9975
ETHUSDT,I,small_cnn,30,7days,2024-08,Test,0.9632,0.96,0.9355,0.9968,0.9964
ETHUSDT,I,small_cnn,30,7days,2024-06,Train,0.9911,0.9914,0.9834,0.9999,0.9999
ETHUSDT,I,small_cnn,5,14days,2024-02,Test,0.9816,0.9819,0.971,0.9992,0.9992
ETHUSDT,I,small_cnn,5,14days,2024-03,Test,0.9835,0.9836,0.9738,0.9993,0.9994
ETHUSDT,I,small_cnn,5,14days,2024-04,Test,0.9829,0.9827,0.9717,0.9993,0.9993
ETHUSDT,I,small_cnn,5,14days,2024-05,Test,0.982,0.9819,0.9714,0.9992,0.9992
ETHUSDT,I,small_cnn,5,14days,2024-08,Test,0.9825,0.9823,0.9713,0.9993,0.9993
ETHUSDT,I,small_cnn,5,14days,2024-06,Train,0.9887,0.9885,0.9796,0.9997,0.9997
ETHUSDT,I,small_cnn,5,21days,2024-02,Test,0.987,0.9874,0.99,0.9994,0.9994
ETHUSDT,I,small_cnn,5,21days,2024-03,Test,0.9891,0.9891,0.9901,0.9996,0.9996
ETHUSDT,I,small_cnn,5,21days,2024-04,Test,0.987,0.987,0.9859,0.9995,0.9995
ETHUSDT,I,small_cnn,5,21days,2024-05,Test,0.9863,0.9865,0.9893,0.9994,0.9994
ETHUSDT,I,small_cnn,5,21days,2024-08,Test,0.9884,0.9884,0.9891,0.9995,0.9995
ETHUSDT,I,small_cnn,5,21days,2024-06,Train,0.9936,0.9936,0.995,0.9998,0.9998
ETHUSDT,I,small_cnn,5,28days,2024-02,Test,0.9836,0.9839,0.9708,0.9996,0.9996
ETHUSDT,I,small_cnn,5,28days,2024-03,Test,0.985,0.9849,0.9726,0.9997,0.9997
ETHUSDT,I,small_cnn,5,28days,2024-04,Test,0.984,0.9839,0.9703,0.9996,0.9997
