Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ADAUSDT,II,small_cnn,15,14days,2024-01,Test,0.9978,0.9976,0.9952,1.0,1.0
ADAUSDT,II,small_cnn,15,14days,2024-03,Test,0.9926,0.9922,0.9845,0.9998,0.9998
ADAUSDT,II,small_cnn,15,14days,2024-04,Test,0.9978,0.9975,0.9951,0.9999,0.9999
ADAUSDT,II,small_cnn,15,14days,2024-11,Test,0.9959,0.9955,0.991,0.9998,0.9998
ADAUSDT,II,small_cnn,15,14days,2024-12,Test,0.987,0.9865,0.9733,0.9991,0.9992
ADAUSDT,II,small_cnn,15,1week,2024-09,Train,0.9999,0.9999,0.9998,1.0,1.0
ADAUSDT,II,small_cnn,15,21days,2024-01,Test,0.9982,0.998,0.9961,1.0,1.0
ADAUSDT,II,small_cnn,15,21days,2024-03,Test,0.9924,0.992,0.9841,0.9997,0.9998
ADAUSDT,II,small_cnn,15,21days,2024-04,Test,0.9975,0.9972,0.9944,0.9999,0.9999
ADAUSDT,II,small_cnn,15,21days,2024-11,Test,0.9938,0.9933,0.9867,0.9998,0.9998
ADAUSDT,II,small_cnn,15,21days,2024-12,Test,0.9878,0.9871,0.9746,0.9992,0.9993
ADAUSDT,II,small_cnn,15,28days,2024-01,Test,0.9985,0.9983,0.9967,1.0,1.0
ADAUSDT,II,small_cnn,15,28days,2024-03,Test,0.9936,0.9932,0.9864,0.9998,0.9998
ADAUSDT,II,small_cnn,15,28days,2024-04,Test,0.998,0.9978,0.9955,0.9999,0.9999
ADAUSDT,II,small_cnn,15,28days,2024-11,Test,0.9916,0.9909,0.982,0.9995,0.9996
ADAUSDT,II,small_cnn,15,28days,2024-12,Test,0.9886,0.988,0.9763,0.9993,0.9994
ADAUSDT,II,small_cnn,30,14days,2024-01,Test,0.4652,0.635,1.0,0.5,0.7326
ADAUSDT,II,small_cnn,30,14days,2024-03,Test,0.4758,0.6448,1.0,0.5,0.7379
ADAUSDT,II,small_cnn,30,14days,2024-04,Test,0.4453,0.6162,1.0,0.5,0.7226
ADAUSDT,II,small_cnn,30,14days,2024-11,Test,0.4511,0.6217,1.0,0.5,0.7255
ADAUSDT,II,small_cnn,30,14days,2024-12,Test,0.4846,0.6529,1.0,0.5,0.7423
ADAUSDT,II,small_cnn,30,1week,2024-09,Train,0.4208,0.5923,1.0,0.5,0.7104
ADAUSDT,II,small_cnn,30,21days,2024-01,Test,0.4559,0.6263,1.0,0.5,0.728
ADAUSDT,II,small_cnn,30,21days,2024-03,Test,0.4752,0.6442,1.0,0.5,0.7376
ADAUSDT,II,small_cnn,30,21days,2024-04,Test,0.4523,0.6228,1.0,0.5,0.7261
ADAUSDT,II,small_cnn,30,21days,2024-11,Test,0.4625,0.6325,1.0,0.5,0.7313
ADAUSDT,II,small_cnn,30,21days,2024-12,Test,0.4806,0.6492,1.0,0.5,0.7403
ADAUSDT,II,small_cnn,30,28days,2024-01,Test,0.451,0.6216,1.0,0.5,0.7255
ADAUSDT,II,small_cnn,30,28days,2024-03,Test,0.4709,0.6403,1.0,0.5,0.7355
ADAUSDT,II,small_cnn,30,28days,2024-04,Test,0.4509,0.6215,1.0,0.5,0.7254
ADAUSDT,II,small_cnn,30,28days,2024-11,Test,0.4691,0.6387,1.0,0.5,0.7346
ADAUSDT,II,small_cnn,30,28days,2024-12,Test,0.4785,0.6472,1.0,0.5,0.7392
ADAUSDT,II,small_cnn,5,14days,2024-01,Test,0.9997,0.9996,0.9993,1.0,1.0
ADAUSDT,II,small_cnn,5,14days,2024-03,Test,0.9989,0.9988,0.9976,1.0,1.0
ADAUSDT,II,small_cnn,5,14days,2024-04,Test,0.9997,0.9997,0.9993,1.0,1.0
ADAUSDT,II,small_cnn,5,14days,2024-11,Test,0.9987,0.9986,0.9971,1.0,1.0
ADAUSDT,II,small_cnn,5,14days,2024-12,Test,0.9944,0.9942,0.9884,0.9995,0.9996
ADAUSDT,II,small_cnn,5,1week,2024-09,Train,1.0,1.0,1.0,1.0,1.0
ADAUSDT,II,small_cnn,5,21days,2024-01,Test,0.9998,0.9997,0.9995,1.0,1.0
ADAUSDT,II,small_cnn,5,21days,2024-03,Test,0.9985,0.9985,0.9969,1.0,1.0
