Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BNBUSDT,II,small_cnn,15,14days,2024-01,Test,0.9996,0.9995,0.999,1.0,1.0
BNBUSDT,II,small_cnn,15,14days,2024-03,Test,0.9983,0.998,0.996,0.9999,0.9999
BNBUSDT,II,small_cnn,15,14days,2024-04,Test,0.9984,0.9982,0.9963,0.9999,0.9999
BNBUSDT,II,small_cnn,15,14days,2024-08,Test,0.9983,0.9981,0.9961,1.0,1.0
BNBUSDT,II,small_cnn,15,14days,2024-12,Test,0.9695,0.9686,0.9391,0.9948,0.9962
BNBUSDT,II,small_cnn,15,1week,2024-10,Train,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,small_cnn,15,21days,2024-01,Test,0.9997,0.9997,0.9993,1.0,1.0
BNBUSDT,II,small_cnn,15,21days,2024-03,Test,0.9971,0.9967,0.9934,0.9999,0.9999
BNBUSDT,II,small_cnn,15,21days,2024-04,Test,0.9983,0.9981,0.9962,0.9999,0.9999
BNBUSDT,II,small_cnn,15,21days,2024-08,Test,0.9987,0.9985,0.997,1.0,1.0
BNBUSDT,II,small_cnn,15,21days,2024-12,Test,0.9707,0.9699,0.9415,0.9949,0.9963
BNBUSDT,II,small_cnn,15,28days,2024-01,Test,0.9998,0.9997,0.9995,1.0,1.0
BNBUSDT,II,small_cnn,15,28days,2024-03,Test,0.9975,0.9972,0.9944,0.9999,0.9999
BNBUSDT,II,small_cnn,15,28days,2024-04,Test,0.9984,0.9982,0.9964,0.9999,0.9999
BNBUSDT,II,small_cnn,15,28days,2024-08,Test,0.9988,0.9986,0.9973,1.0,1.0
BNBUSDT,II,small_cnn,15,28days,2024-12,Test,0.9716,0.9708,0.9433,0.9952,0.9964
BNBUSDT,II,small_cnn,30,14days,2024-01,Test,0.9998,0.9997,0.9995,1.0,1.0
BNBUSDT,II,small_cnn,30,14days,2024-03,Test,0.9994,0.9993,0.9985,0.9997,0.9998
BNBUSDT,II,small_cnn,30,14days,2024-04,Test,0.9989,0.9987,0.9973,0.9999,0.9999
BNBUSDT,II,small_cnn,30,14days,2024-08,Test,0.9994,0.9993,0.9985,0.9998,0.9998
BNBUSDT,II,small_cnn,30,14days,2024-12,Test,0.9815,0.9812,0.9632,0.9942,0.996
BNBUSDT,II,small_cnn,30,1week,2024-10,Train,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,small_cnn,30,21days,2024-01,Test,0.9999,0.9998,0.9997,1.0,1.0
BNBUSDT,II,small_cnn,30,21days,2024-03,Test,0.999,0.9988,0.9977,0.9997,0.9998
BNBUSDT,II,small_cnn,30,21days,2024-04,Test,0.9988,0.9986,0.9973,0.9999,0.9999
BNBUSDT,II,small_cnn,30,21days,2024-08,Test,0.9995,0.9995,0.9989,0.9999,0.9999
BNBUSDT,II,small_cnn,30,21days,2024-12,Test,0.9827,0.9824,0.9655,0.9946,0.9963
BNBUSDT,II,small_cnn,30,28days,2024-01,Test,0.9999,0.9999,0.9997,1.0,1.0
BNBUSDT,II,small_cnn,30,28days,2024-03,Test,0.999,0.9989,0.9977,0.9998,0.9999
BNBUSDT,II,small_cnn,30,28days,2024-04,Test,0.999,0.9989,0.9977,0.9999,0.9999
BNBUSDT,II,small_cnn,30,28days,2024-08,Test,0.9996,0.9995,0.999,0.9999,0.9999
BNBUSDT,II,small_cnn,30,28days,2024-12,Test,0.9826,0.9823,0.9652,0.9947,0.9964
BNBUSDT,II,small_cnn,5,14days,2024-01,Test,0.9999,0.9998,0.9996,1.0,1.0
BNBUSDT,II,small_cnn,5,14days,2024-03,Test,0.9995,0.9994,0.9987,0.9999,0.9999
BNBUSDT,II,small_cnn,5,14days,2024-04,Test,0.9994,0.9993,0.9985,0.9999,0.9999
BNBUSDT,II,small_cnn,5,14days,2024-08,Test,0.9998,0.9997,0.9994,1.0,1.0
BNBUSDT,II,small_cnn,5,14days,2024-12,Test,0.9798,0.9795,0.9597,0.997,0.9977
BNBUSDT,II,small_cnn,5,1week,2024-10,Train,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,small_cnn,5,21days,2024-01,Test,0.9999,0.9999,0.9997,1.0,1.0
BNBUSDT,II,small_cnn,5,21days,2024-03,Test,0.9993,0.9992,0.9984,0.9999,0.9999
BNBUSDT,II,small_cnn,5,21days,2024-04,Test,0.9995,0.9994,0.9989,1.0,1.0
BNBUSDT,II,small_cnn,5,21days,2024-08,Test,0.9998,0.9998,0.9996,1.0,1.0
BNBUSDT,II,small_cnn,5,21days,2024-12,Test,0.981,0.9807,0.9621,0.9974,0.998
BNBUSDT,II,small_cnn,5,28days,2024-01,Test,0.9999,0.9999,0.9998,1.0,1.0
BNBUSDT,II,small_cnn,5,28days,2024-03,Test,0.9994,0.9994,0.9987,0.9999,0.9999
BNBUSDT,II,small_cnn,5,28days,2024-04,Test,0.9996,0.9995,0.9991,1.0,1.0
BNBUSDT,II,small_cnn,5,28days,2024-08,Test,0.9999,0.9999,0.9997,1.0,1.0
BNBUSDT,II,small_cnn,5,28days,2024-12,Test,0.982,0.9817,0.9641,0.9975,0.9981
BNBUSDT,II,edgenext,15,14days,2024-12,Test,0.9806,0.9811,1.0,0.9811,0.9653
BNBUSDT,II,edgenext,15,14days,2024-01,Test,0.6083,0.0,0.0,0.529,0.4156
BNBUSDT,II,edgenext,15,14days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,15,14days,2024-03,Test,1.0,0.9999,0.9999,1.0,1.0
BNBUSDT,II,edgenext,15,14days,2024-08,Test,0.5623,0.0,0.0,0.5017,0.4399
BNBUSDT,II,edgenext,15,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,15,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,15,21days,2024-12,Test,0.5015,0.668,1.0,0.9018,0.9043
BNBUSDT,II,edgenext,15,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,15,21days,2024-04,Test,1.0,1.0,0.9999,1.0,1.0
BNBUSDT,II,edgenext,15,28days,2024-08,Test,0.5692,0.0,0.0,0.7379,0.6819
BNBUSDT,II,edgenext,15,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,15,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,15,28days,2024-03,Test,0.5557,0.0,0.0,0.6324,0.5896
BNBUSDT,II,edgenext,15,28days,2024-04,Test,0.5644,0.0,0.0,0.574,0.5096
BNBUSDT,II,edgenext,15,7days,2024-10,Train,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,30,14days,2024-04,Test,0.5691,0.0,0.0,0.7105,0.6295
BNBUSDT,II,edgenext,30,14days,2024-08,Test,0.5624,0.0,0.0,0.5,0.7188
BNBUSDT,II,edgenext,30,14days,2024-01,Test,0.6081,0.0,0.0,0.4729,0.3763
BNBUSDT,II,edgenext,30,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
BNBUSDT,II,edgenext,30,14days,2024-03,Test,0.5664,0.0,0.0,0.5363,0.4656
