Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
BTCUSDT,II,small_cnn,15,14days,2024-01,Test,0.9977,0.9977,0.9984,1.0,1.0
BTCUSDT,II,small_cnn,15,14days,2024-03,Test,0.9965,0.9965,0.9968,0.9999,0.9999
BTCUSDT,II,small_cnn,15,14days,2024-04,Test,0.9978,0.9978,0.9988,1.0,1.0
BTCUSDT,II,small_cnn,15,14days,2024-08,Test,0.9985,0.9985,0.9989,1.0,1.0
BTCUSDT,II,small_cnn,15,14days,2024-12,Test,0.9967,0.9966,0.998,1.0,1.0
BTCUSDT,II,small_cnn,15,1week,2024-06,Train,0.9965,0.9963,0.9974,1.0,1.0
BTCUSDT,II,small_cnn,15,21days,2024-01,Test,0.9965,0.9964,0.9972,0.9999,0.9999
BTCUSDT,II,small_cnn,15,21days,2024-03,Test,0.9974,0.9974,0.9978,1.0,1.0
BTCUSDT,II,small_cnn,15,21days,2024-04,Test,0.9982,0.9982,0.999,1.0,1.0
BTCUSDT,II,small_cnn,15,21days,2024-08,Test,0.9982,0.9982,0.9989,1.0,1.0
BTCUSDT,II,small_cnn,15,21days,2024-12,Test,0.9971,0.997,0.998,1.0,1.0
BTCUSDT,II,small_cnn,15,28days,2024-01,Test,0.996,0.996,0.9971,0.9999,0.9999
BTCUSDT,II,small_cnn,15,28days,2024-03,Test,0.9978,0.9978,0.9982,1.0,1.0
BTCUSDT,II,small_cnn,15,28days,2024-04,Test,0.9976,0.9975,0.9988,1.0,1.0
BTCUSDT,II,small_cnn,15,28days,2024-08,Test,0.998,0.9979,0.9986,1.0,1.0
BTCUSDT,II,small_cnn,15,28days,2024-12,Test,0.9972,0.9971,0.9983,1.0,1.0
BTCUSDT,II,small_cnn,30,14days,2024-01,Test,0.5041,0.6703,1.0,0.5001,0.7521
BTCUSDT,II,small_cnn,30,14days,2024-03,Test,0.5021,0.6685,1.0,0.4999,0.2511
BTCUSDT,II,small_cnn,30,14days,2024-04,Test,0.4915,0.6591,1.0,0.4998,0.2458
BTCUSDT,II,small_cnn,30,14days,2024-08,Test,0.4955,0.6627,1.0,0.5002,0.4978
BTCUSDT,II,small_cnn,30,14days,2024-12,Test,0.4896,0.6574,1.0,0.4999,0.2449
BTCUSDT,II,small_cnn,30,1week,2024-06,Train,0.4665,0.6362,1.0,0.5001,0.2333
BTCUSDT,II,small_cnn,30,21days,2024-01,Test,0.4982,0.665,1.0,0.5,0.749
BTCUSDT,II,small_cnn,30,21days,2024-03,Test,0.4976,0.6646,1.0,0.4999,0.3322
BTCUSDT,II,small_cnn,30,21days,2024-04,Test,0.4926,0.66,1.0,0.4999,0.2464
BTCUSDT,II,small_cnn,30,21days,2024-08,Test,0.4941,0.6614,1.0,0.5001,0.4971
BTCUSDT,II,small_cnn,30,21days,2024-12,Test,0.4903,0.6579,1.0,0.5,0.6201
BTCUSDT,II,small_cnn,30,28days,2024-01,Test,0.4962,0.6633,1.0,0.5,0.7481
BTCUSDT,II,small_cnn,30,28days,2024-03,Test,0.4957,0.6629,1.0,0.5,0.3312
BTCUSDT,II,small_cnn,30,28days,2024-04,Test,0.4912,0.6588,1.0,0.4999,0.2457
BTCUSDT,II,small_cnn,30,28days,2024-08,Test,0.4929,0.6603,1.0,0.5001,0.4608
BTCUSDT,II,small_cnn,30,28days,2024-12,Test,0.4904,0.658,1.0,0.5001,0.6452
BTCUSDT,II,small_cnn,5,14days,2024-01,Test,0.9949,0.995,0.9906,1.0,1.0
BTCUSDT,II,small_cnn,5,14days,2024-03,Test,0.9931,0.9931,0.9874,0.9999,0.9999
BTCUSDT,II,small_cnn,5,14days,2024-04,Test,0.995,0.9949,0.991,1.0,1.0
BTCUSDT,II,small_cnn,5,14days,2024-08,Test,0.9954,0.9953,0.9911,1.0,1.0
BTCUSDT,II,small_cnn,5,14days,2024-12,Test,0.995,0.9949,0.9901,1.0,1.0
BTCUSDT,II,small_cnn,5,1week,2024-06,Train,0.9944,0.994,0.9889,1.0,1.0
BTCUSDT,II,small_cnn,5,21days,2024-01,Test,0.9936,0.9935,0.9884,0.9999,0.9999
BTCUSDT,II,small_cnn,5,21days,2024-03,Test,0.9946,0.9945,0.99,1.0,1.0
BTCUSDT,II,small_cnn,5,21days,2024-04,Test,0.9951,0.995,0.9909,1.0,1.0
BTCUSDT,II,small_cnn,5,21days,2024-08,Test,0.9955,0.9954,0.9912,1.0,1.0
BTCUSDT,II,small_cnn,5,21days,2024-12,Test,0.9954,0.9953,0.991,1.0,1.0
BTCUSDT,II,small_cnn,5,28days,2024-01,Test,0.9932,0.9931,0.9876,0.9999,0.9999
BTCUSDT,II,small_cnn,5,28days,2024-03,Test,0.9953,0.9953,0.9913,1.0,1.0
BTCUSDT,II,small_cnn,5,28days,2024-04,Test,0.9942,0.9941,0.9892,0.9999,0.9999
BTCUSDT,II,small_cnn,5,28days,2024-08,Test,0.9952,0.9951,0.9908,1.0,1.0
BTCUSDT,II,small_cnn,5,28days,2024-12,Test,0.9956,0.9955,0.9916,1.0,1.0
BTCUSDT,II,edgenext,15,14days,2024-12,Test,0.5103,0.0,0.0,0.0992,0.3111
BTCUSDT,II,edgenext,15,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,14days,2024-04,Test,0.5086,0.0,0.0,0.5165,0.5616
BTCUSDT,II,edgenext,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,14days,2024-08,Test,0.4955,0.6627,1.0,0.5463,0.548
BTCUSDT,II,edgenext,15,21days,2024-03,Test,0.9921,0.992,0.9842,0.9968,0.9981
BTCUSDT,II,edgenext,15,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,21days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,21days,2024-04,Test,0.9974,0.9974,0.9948,0.9978,0.9986
BTCUSDT,II,edgenext,15,28days,2024-08,Test,0.5071,0.0,0.0,0.4896,0.6166
BTCUSDT,II,edgenext,15,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,15,28days,2024-03,Test,0.5043,0.0,0.0,0.4993,0.2479
BTCUSDT,II,edgenext,15,28days,2024-04,Test,0.5089,0.0,0.0,0.5,0.7456
BTCUSDT,II,edgenext,15,7days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,30,14days,2024-04,Test,0.5085,0.0,0.0,0.5339,0.6704
BTCUSDT,II,edgenext,30,14days,2024-08,Test,0.4955,0.6627,1.0,0.5913,0.615
BTCUSDT,II,edgenext,30,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,30,14days,2024-12,Test,0.5104,0.0,0.0,0.533,0.618
BTCUSDT,II,edgenext,30,14days,2024-03,Test,0.4979,0.0,0.0,0.8291,0.8036
BTCUSDT,II,edgenext,30,21days,2024-04,Test,0.5074,0.0,0.0,0.5001,0.7463
BTCUSDT,II,edgenext,30,21days,2024-03,Test,0.5024,0.0,0.0,0.4922,0.4906
BTCUSDT,II,edgenext,30,21days,2024-08,Test,0.5059,0.0,0.0,0.6129,0.592
BTCUSDT,II,edgenext,30,21days,2024-12,Test,0.5097,0.0,0.0,0.4556,0.4523
BTCUSDT,II,edgenext,30,21days,2024-01,Test,0.5018,0.0,0.0,0.4379,0.4557
BTCUSDT,II,edgenext,30,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,30,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,30,28days,2024-08,Test,0.5071,0.0,0.0,0.5335,0.5369
BTCUSDT,II,edgenext,30,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,30,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
BTCUSDT,II,edgenext,30,7days,2024-06,Train,0.5335,0.0,0.0,0.6568,0.6296
