Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
DOGEUSDT,II,small_cnn,15,14days,2024-03,Test,0.9976,0.9976,0.9987,1.0,1.0
DOGEUSDT,II,small_cnn,15,14days,2024-04,Test,0.9974,0.9973,0.9991,1.0,1.0
DOGEUSDT,II,small_cnn,15,14days,2024-08,Test,0.9977,0.9976,0.9995,1.0,1.0
DOGEUSDT,II,small_cnn,15,14days,2024-11,Test,0.9973,0.9973,0.999,1.0,1.0
DOGEUSDT,II,small_cnn,15,14days,2024-12,Test,0.9977,0.9977,0.9987,1.0,1.0
DOGEUSDT,II,small_cnn,15,1week,2024-09,Train,0.9971,0.997,1.0,1.0,1.0
DOGEUSDT,II,small_cnn,15,21days,2024-03,Test,0.9975,0.9975,0.9987,1.0,1.0
DOGEUSDT,II,small_cnn,15,21days,2024-04,Test,0.9976,0.9976,0.9993,1.0,1.0
DOGEUSDT,II,small_cnn,15,21days,2024-08,Test,0.9973,0.9971,0.9996,1.0,1.0
DOGEUSDT,II,small_cnn,15,21days,2024-11,Test,0.9975,0.9974,0.9989,1.0,1.0
DOGEUSDT,II,small_cnn,15,21days,2024-12,Test,0.9978,0.9977,0.9989,1.0,1.0
DOGEUSDT,II,small_cnn,15,28days,2024-03,Test,0.9975,0.9974,0.9988,1.0,1.0
DOGEUSDT,II,small_cnn,15,28days,2024-04,Test,0.9976,0.9976,0.9994,1.0,1.0
DOGEUSDT,II,small_cnn,15,28days,2024-08,Test,0.9972,0.9971,0.9996,1.0,1.0
DOGEUSDT,II,small_cnn,15,28days,2024-11,Test,0.9975,0.9975,0.9989,1.0,1.0
DOGEUSDT,II,small_cnn,15,28days,2024-12,Test,0.9977,0.9977,0.9989,1.0,1.0
DOGEUSDT,II,small_cnn,30,14days,2024-03,Test,0.5007,0.0,0.0,0.5,0.7489
DOGEUSDT,II,small_cnn,30,14days,2024-04,Test,0.5087,0.0,0.0,0.5002,0.745
DOGEUSDT,II,small_cnn,30,14days,2024-08,Test,0.5232,0.0,0.0,0.5005,0.738
DOGEUSDT,II,small_cnn,30,14days,2024-11,Test,0.5041,0.0,0.0,0.5003,0.7474
DOGEUSDT,II,small_cnn,30,14days,2024-12,Test,0.5031,0.0,0.0,0.4996,0.7474
DOGEUSDT,II,small_cnn,30,1week,2024-09,Train,0.5281,0.0,0.0,0.5004,0.7353
