Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
XRPUSDT,II,small_cnn,15,14days,2024-01,Test,0.9997,0.9996,0.9992,1.0,1.0
XRPUSDT,II,small_cnn,15,14days,2024-04,Test,0.9995,0.9995,0.9989,1.0,1.0
XRPUSDT,II,small_cnn,15,14days,2024-08,Test,0.9991,0.999,0.9981,1.0,1.0
XRPUSDT,II,small_cnn,15,14days,2024-11,Test,0.9991,0.999,0.998,0.9999,0.9999
XRPUSDT,II,small_cnn,15,14days,2024-12,Test,0.9914,0.9912,0.9826,0.9997,0.9997
XRPUSDT,II,small_cnn,15,1week,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,II,small_cnn,15,21days,2024-01,Test,0.9997,0.9997,0.9994,1.0,1.0
XRPUSDT,II,small_cnn,15,21days,2024-04,Test,0.9994,0.9994,0.9988,1.0,1.0
XRPUSDT,II,small_cnn,15,21days,2024-08,Test,0.9993,0.9992,0.9984,1.0,1.0
XRPUSDT,II,small_cnn,15,21days,2024-11,Test,0.9975,0.9972,0.9945,0.9998,0.9998
XRPUSDT,II,small_cnn,15,21days,2024-12,Test,0.9916,0.9914,0.983,0.9997,0.9998
XRPUSDT,II,small_cnn,15,28days,2024-01,Test,0.9998,0.9997,0.9995,1.0,1.0
XRPUSDT,II,small_cnn,15,28days,2024-04,Test,0.9995,0.9995,0.999,1.0,1.0
XRPUSDT,II,small_cnn,15,28days,2024-08,Test,0.9994,0.9993,0.9986,1.0,1.0
XRPUSDT,II,small_cnn,15,28days,2024-11,Test,0.9963,0.996,0.992,0.9998,0.9998
XRPUSDT,II,small_cnn,15,28days,2024-12,Test,0.9919,0.9917,0.9835,0.9998,0.9998
XRPUSDT,II,small_cnn,30,14days,2024-01,Test,0.546,0.0,0.0,0.5,0.727
XRPUSDT,II,small_cnn,30,14days,2024-04,Test,0.5444,0.0,0.0,0.5,0.7278
XRPUSDT,II,small_cnn,30,14days,2024-08,Test,0.5374,0.0,0.0,0.5,0.7313
XRPUSDT,II,small_cnn,30,14days,2024-11,Test,0.5532,0.0,0.0,0.5,0.7234
XRPUSDT,II,small_cnn,30,14days,2024-12,Test,0.5023,0.0,0.0,0.5,0.7488
XRPUSDT,II,small_cnn,30,1week,2024-09,Train,0.5588,0.0,0.0,0.5,0.7206
XRPUSDT,II,small_cnn,30,21days,2024-01,Test,0.5517,0.0,0.0,0.5,0.7241
